study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Vandell2018	ABC_CC	206.0	ED60	auc_end	edoxaban	plasma	LC MS/MS	96.0	hr	1760.0	NA	NA	NA	NA	447.2	NA	ng*hr/ml	NA
Vandell2018	ABC_CC	206.0	ED60	auc_end	edoxaban	plasma	LC MS/MS	24.0	hr	1608.0	NA	NA	NA	NA	441.2	NA	ng*hr/ml	NA
Vandell2018	ABC_CC	206.0	ED60	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	1789.0	NA	NA	NA	NA	450.2	NA	ng*hr/ml	NA
Vandell2018	ABC_CC	206.0	ED60	cmax	edoxaban	plasma	LC MS/MS	NA	NA	246.0	NA	NA	NA	NA	96.6	NA	ng/ml	NA
Vandell2018	ABC_CC	206.0	ED60	concentration	edoxaban	plasma	LC MS/MS	24.0	hr	12.5	NA	NA	NA	NA	5.11	NA	ng/ml	NA
Vandell2018	ABC_CT	193.0	ED60	auc_end	edoxaban	plasma	LC MS/MS	96.0	hr	1814.0	NA	NA	NA	NA	417.0	NA	ng*hr/ml	NA
Vandell2018	ABC_CT	193.0	ED60	auc_end	edoxaban	plasma	LC MS/MS	24.0	hr	1671.0	NA	NA	NA	NA	420.3	NA	ng*hr/ml	NA
Vandell2018	ABC_CT	193.0	ED60	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	1845.0	NA	NA	NA	NA	417.8	NA	ng*hr/ml	NA
Vandell2018	ABC_CT	193.0	ED60	cmax	edoxaban	plasma	LC MS/MS	NA	NA	268.0	NA	NA	NA	NA	95.2	NA	ng/ml	NA
Vandell2018	ABC_CT	193.0	ED60	concentration	edoxaban	plasma	LC MS/MS	24.0	hr	11.8	NA	NA	NA	NA	5.07	NA	ng/ml	NA
Vandell2018	ABC_TT	59.0	ED60	auc_end	edoxaban	plasma	LC MS/MS	96.0	hr	1820.0	NA	NA	NA	NA	434.8	NA	ng*hr/ml	NA
Vandell2018	ABC_TT	59.0	ED60	auc_end	edoxaban	plasma	LC MS/MS	24.0	hr	1680.0	NA	NA	NA	NA	441.5	NA	ng*hr/ml	NA
Vandell2018	ABC_TT	59.0	ED60	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	1863.0	NA	NA	NA	NA	436.5	NA	ng*hr/ml	NA
Vandell2018	ABC_TT	59.0	ED60	cmax	edoxaban	plasma	LC MS/MS	NA	NA	261.0	NA	NA	NA	NA	101.3	NA	ng/ml	NA
Vandell2018	ABC_TT	59.0	ED60	concentration	edoxaban	plasma	LC MS/MS	24.0	hr	12.3	NA	NA	NA	NA	6.46	NA	ng/ml	NA
