study	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_unit	y_measurement_type	y_substance	y_tissue	y_method	y_label	y	y_unit	comments
Cui2013	NA	12	API10	NA	day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	21.7105263157894	ng/ml	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	0.310421286031042	IU/ml	NA
Cui2013	NA	12	API10	NA	day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	26.6447368421052	ng/ml	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	0.376940133037694	IU/ml	NA
Cui2013	NA	12	API10	NA	day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	31.578947368421	ng/ml	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	0.376940133037694	IU/ml	NA
Cui2013	NA	12	API10	NA	day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	34.5394736842105	ng/ml	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	0.532150776053214	IU/ml	NA
Cui2013	NA	12	API10	NA	day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	39.4736842105263	ng/ml	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	0.598669623059866	IU/ml	NA
Cui2013	NA	12	API10	NA	day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	42.4342105263158	ng/ml	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	0.687361419068734	IU/ml	NA
Cui2013	NA	12	API10	NA	day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	49.3421052631579	ng/ml	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	0.643015521064301	IU/ml	NA
Cui2013	NA	12	API10	NA	day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	47.3684210526316	ng/ml	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	0.776053215077606	IU/ml	NA
Cui2013	NA	12	API10	NA	day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	47.3684210526316	ng/ml	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	0.886917960088691	IU/ml	NA
Cui2013	NA	12	API10	NA	day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	54.2763157894737	ng/ml	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	0.820399113082039	IU/ml	NA
