study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_sd	mean_se	min	max	cv	comments	mean_unit
Tirona2018		nafld_fibrosis	11.0	API2.5, ROS5	cumulative amount	apixaban	plasma	LC MS/MS	cumulative amount_nafld_fibrosis_apixaban	0.0	hr	0.0							mole
Tirona2018		nafld_fibrosis	11.0	API2.5, ROS5	cumulative amount	apixaban	plasma	LC MS/MS	cumulative amount_nafld_fibrosis_apixaban	12.0	hr	1.223068552774755e-06	4.221980413492927e-07						mole
