study	individual	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_sd	x_unit	y_measurement_type	y_tissue	y_method	y_label	y	y_mean_pm	y_sd	y_se	y_unit	comments
Kreutz2017		all	1.0	api	NR	hr	concentration	apixaban	plasma	LC MS/MS	api_apixaban_plasma_vs_Anti-factor Xa activity_ug	2.736637714777192e-05		mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	api_Anti-factor Xa activity_vs_apixaban_ug	25.531914893617				ug/l	
Kreutz2017		all	1.0	api	NR	hr	concentration	apixaban	plasma	LC MS/MS	api_apixaban_plasma_vs_Anti-factor Xa activity_ug	3.239285458307704e-05		mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	api_Anti-factor Xa activity_vs_apixaban_ug	25.531914893617				ug/l	
Kreutz2017		all	1.0	api	NR	hr	concentration	apixaban	plasma	LC MS/MS	api_apixaban_plasma_vs_Anti-factor Xa activity_ug	3.68608345255704e-05		mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	api_Anti-factor Xa activity_vs_apixaban_ug	25.531914893617				ug/l	
Kreutz2017		all	1.0	api	NR	hr	concentration	apixaban	plasma	LC MS/MS	api_apixaban_plasma_vs_Anti-factor Xa activity_ug	3.7419332018381926e-05		mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	api_Anti-factor Xa activity_vs_apixaban_ug	27.4959083469722				ug/l	
Kreutz2017		all	1.0	api	NR	hr	concentration	apixaban	plasma	LC MS/MS	api_apixaban_plasma_vs_Anti-factor Xa activity_ug	4.021181948244047e-05		mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	api_Anti-factor Xa activity_vs_apixaban_ug	27.0049099836334				ug/l	
Kreutz2017		all	1.0	api	NR	hr	concentration	apixaban	plasma	LC MS/MS	api_apixaban_plasma_vs_Anti-factor Xa activity_ug	4.579679441055712e-05		mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	api_Anti-factor Xa activity_vs_apixaban_ug	26.0229132569558				ug/l	
Kreutz2017		all	1.0	api	NR	hr	concentration	apixaban	plasma	LC MS/MS	api_apixaban_plasma_vs_Anti-factor Xa activity_ug	5.1940266831485524e-05		mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	api_Anti-factor Xa activity_vs_apixaban_ug	25.531914893617				ug/l	
Kreutz2017		all	1.0	api	NR	hr	concentration	apixaban	plasma	LC MS/MS	api_apixaban_plasma_vs_Anti-factor Xa activity_ug	4.579679441055712e-05		mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	api_Anti-factor Xa activity_vs_apixaban_ug	29.9509001636661				ug/l	
Kreutz2017		all	1.0	api	NR	hr	concentration	apixaban	plasma	LC MS/MS	api_apixaban_plasma_vs_Anti-factor Xa activity_ug	5.0264774353050484e-05		mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	api_Anti-factor Xa activity_vs_apixaban_ug	29.4599018003273				ug/l	
Kreutz2017		all	1.0	api	NR	hr	concentration	apixaban	plasma	LC MS/MS	api_apixaban_plasma_vs_Anti-factor Xa activity_ug	5.584974928116713e-05		mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	api_Anti-factor Xa activity_vs_apixaban_ug	28.9689034369885				ug/l	
