study	individual	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_sd	x_unit	y_measurement_type	y_tissue	y_method	y_label	y	y_mean_pm	y_sd	y_se	y_unit	comments
Kreutz2017		all	24	api	12	hr	concentration	apixaban	plasma	LC MS/MS	api_apixaban_plasma_vs_mean_Anti-factor Xa activity_ug	8.812068901664809e-05	3.24265505984766e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	api_Anti-factor Xa activity_vs_apixaban_mean_ug	37.5		5.5875	1.14054366148342	ug/l	
Kreutz2017		all	24	api	24	hr	concentration	apixaban	plasma	LC MS/MS	api_apixaban_plasma_vs_mean_Anti-factor Xa activity_ug	0.00011530210001779106	4.2655059847660496e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	api_Anti-factor Xa activity_vs_apixaban_mean_ug	44.9		9.6086	1.96134726187554	ug/l	
Kreutz2017		all	24	api	36	hr	concentration	apixaban	plasma	LC MS/MS	api_apixaban_plasma_vs_mean_Anti-factor Xa activity_ug	2.7663602016297496e-05	1.2187159956474426e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	api_Anti-factor Xa activity_vs_apixaban_mean_ug	26.8		2.4254	0.495082701845527	ug/l	
