study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	cv	comments	mean_unit	value_unit
Kreutz2017		all	24.0	api	Anti-factor Xa activity		plasma	coagulation assay	api_Anti-factor Xa activity_mean_ug	12.0	hr		37.5		5.5875	1.14054366148342	14.9		ug/l	ug/l
Kreutz2017		all	24.0	api	Anti-factor Xa activity		plasma	coagulation assay	api_Anti-factor Xa activity_mean_ug	24.0	hr		44.9		9.6086	1.96134726187554	21.4		ug/l	ug/l
Kreutz2017		all	24.0	api	Anti-factor Xa activity		plasma	coagulation assay	api_Anti-factor Xa activity_mean_ug	36.0	hr		26.8		2.4254	0.495082701845527	9.05		ug/l	ug/l
