study	name	time	time_end	time_unit	route	application	measurement_type	form	substance	value	unit	comments
Samama2010	ED60	0	NA	hr	oral	multiple dose	dosing	tablet	edoxaban	60	mg	60 mg, twice-daily, 7 doses
Samama2010	DAL	0	NA	hr	subcutaneous	multiple dose	dosing	solution	edoxaban	5000	IU	dalteparin 5000 IU, once-daily, 4 doses 
Samama2010	XIM	0	NA	hr	oral	multiple dose	dosing	tablet	edoxaban	24	mg	ximelagatran 24 mg, twice-daily, 7 doses
Samama2010	placebo	0	NA	hr	oral	single dose	dosing	tablet	edoxaban	0	mg	NA
