study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Samama2010	all	40.0	NA	species	40.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Samama2010	all	40.0	NA	healthy	40.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Samama2010	all	40.0	NA	sex	19.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Samama2010	all	40.0	NA	sex	21.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Samama2010	all	40.0	NA	ethnicity	40.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
Samama2010	all	40.0	NA	age	40.0	NA	NA	67.0	NA	NA	NA	64.0	75.0	yr	NA
Samama2010	all	40.0	NA	medication	40.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Samama2010	all	40.0	NA	overnight fast	40.0	NA	NR	NA	NA	NA	NA	NA	NA	NA	NA
Samama2010	ED60	10.0	all	age	10.0	NA	NA	72.0	NA	7.9	NA	NA	NA	yr	NA
Samama2010	ED60	10.0	all	bmi	10.0	NA	NA	25.6	NA	2.3	NA	NA	NA	kg/m^2	NA
Samama2010	DAL	10.0	all	age	10.0	NA	NA	74.8	NA	9.4	NA	NA	NA	yr	NA
Samama2010	DAL	10.0	all	bmi	10.0	NA	NA	25.6	NA	2.9	NA	NA	NA	kg/m^2	NA
Samama2010	XIM	10.0	all	age	10.0	NA	NA	66.6	NA	12.4	NA	NA	NA	yr	NA
Samama2010	XIM	10.0	all	bmi	10.0	NA	NA	24.1	NA	2.9	NA	NA	NA	kg/m^2	NA
Samama2010	placebo	10.0	all	age	10.0	NA	NA	72.8	NA	12.8	NA	NA	NA	yr	NA
Samama2010	placebo	10.0	all	bmi	10.0	NA	NA	25.7	NA	2.3	NA	NA	NA	kg/m^2	NA
