study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_sd	mean_se	min	max	cv	comments	mean_unit
Frost2014a		all	21.0	API10	inr		plasma	coagulation assay	API10_inr_all	0.0	hr	0.94	0.04						dimensionless
Frost2014a		all	21.0	API10	inr		plasma	coagulation assay	API10_inr_all	3.0	hr	1.07	0.07						dimensionless
