study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_pm	mean_sd	mean_se	comments	mean_unit
Frost2014a		all	21.0	API10	concentration	apixaban	plasma	LC MS/MS	API10_all_apixaban	0.0	hr	0.0					mole/meter^3
Frost2014a		all	21.0	API10	concentration	apixaban	plasma	LC MS/MS	API10_all_apixaban	1.0	hr	0.0002001025362015569					mole/meter^3
Frost2014a		all	21.0	API10	concentration	apixaban	plasma	LC MS/MS	API10_all_apixaban	2.0	hr	0.0003230413492927095					mole/meter^3
Frost2014a		all	21.0	API10	concentration	apixaban	plasma	LC MS/MS	API10_all_apixaban	3.0	hr	0.00035442998242236564					mole/meter^3
Frost2014a		all	21.0	API10	concentration	apixaban	plasma	LC MS/MS	API10_all_apixaban	4.0	hr	0.00035312212270862894					mole/meter^3
Frost2014a		all	21.0	API10	concentration	apixaban	plasma	LC MS/MS	API10_all_apixaban	6.0	hr	0.00024718548589604136					mole/meter^3
Frost2014a		all	21.0	API10	concentration	apixaban	plasma	LC MS/MS	API10_all_apixaban	8.0	hr	0.00017525320164057912					mole/meter^3
Frost2014a		all	21.0	API10	concentration	apixaban	plasma	LC MS/MS	API10_all_apixaban	12.0	hr	9.41658993889678e-05					mole/meter^3
Frost2014a		all	21.0	API10	concentration	apixaban	plasma	LC MS/MS	API10_all_apixaban	18.0	hr	4.1851510839541244e-05					mole/meter^3
Frost2014a		all	21.0	API10	concentration	apixaban	plasma	LC MS/MS	API10_all_apixaban	24.0	hr	2.4849334560977584e-05					mole/meter^3
Frost2014a		all	21.0	API10	concentration	apixaban	plasma	LC MS/MS	API10_all_apixaban	36.0	hr	1.1770737423620784e-05					mole/meter^3
Frost2014a		all	21.0	API10	concentration	apixaban	plasma	LC MS/MS	API10_all_apixaban	48.0	hr	9.155017996149555e-06					mole/meter^3
Frost2014a		all	21.0	API10	concentration	apixaban	plasma	LC MS/MS	API10_all_apixaban	60.0	hr	6.539298568678172e-06					mole/meter^3
Frost2014a		all	21.0	API10	concentration	apixaban	plasma	LC MS/MS	API10_all_apixaban	72.0	hr	6.539298568678172e-06					mole/meter^3
