study	group	count	measurement_type	substance	tissue	method	time	time_unit	mean	geomean	median	min	max	geosd	se	cv	unit
Chang2016	100.0	32.0	cmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	230.0	NA	NA	NA	NA	NA	NA	ml/min
Chang2017	100.0	32.0	gmr_cl	apixaban	plasma	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chang2018	100.0	32.0	auc_inf	apixaban	plasma	HPLC MS/MS	NA	NA	NA	2749.0	NA	NA	NA	NA	NA	NA	ng*hr/ml
Chang2019	100.0	32.0	gmr_auc	apixaban	plasma	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chang2016	65.0	32.0	cmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	234.0	NA	NA	NA	NA	NA	NA	ml/min
Chang2017	65.0	32.0	gmr_cl	apixaban	plasma	HPLC MS/MS	NA	NA	NA	1.02	NA	0.914	1.139	NA	NA	NA	NA
Chang2018	65.0	32.0	auc_inf	apixaban	plasma	HPLC MS/MS	NA	NA	NA	3193.0	NA	NA	NA	NA	NA	NA	ng*hr/ml
Chang2019	65.0	32.0	gmr_auc	apixaban	plasma	HPLC MS/MS	NA	NA	NA	1.161	NA	1.017	1.325	NA	NA	NA	NA
Chang2016	40.0	32.0	cmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	238.0	NA	NA	NA	NA	NA	NA	ml/min
Chang2017	40.0	32.0	gmr_cl	apixaban	plasma	HPLC MS/MS	NA	NA	NA	1.034	NA	0.857	1.249	NA	NA	NA	NA
Chang2018	40.0	32.0	auc_inf	apixaban	plasma	HPLC MS/MS	NA	NA	NA	3552.0	NA	NA	NA	NA	NA	NA	ng*hr/ml
Chang2019	40.0	32.0	gmr_auc	apixaban	plasma	HPLC MS/MS	NA	NA	NA	1.292	NA	1.03	1.621	NA	NA	NA	NA
Chang2016	25.0	32.0	cmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	240.0	NA	NA	NA	NA	NA	NA	ml/min
Chang2017	25.0	32.0	gmr_cl	apixaban	plasma	HPLC MS/MS	NA	NA	NA	1.043	NA	0.824	1.32	NA	NA	NA	NA
Chang2018	25.0	32.0	auc_inf	apixaban	plasma	HPLC MS/MS	NA	NA	NA	3788.0	NA	NA	NA	NA	NA	NA	ng*hr/ml
Chang2019	25.0	32.0	gmr_auc	apixaban	plasma	HPLC MS/MS	NA	NA	NA	1.378	NA	1.308	1.829	NA	NA	NA	NA
Chang2016	15.0	32.0	cmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	241.0	NA	NA	NA	NA	NA	NA	ml/min
Chang2017	15.0	32.0	gmr_cl	apixaban	plasma	HPLC MS/MS	NA	NA	NA	1.049	NA	0.803	1.37	NA	NA	NA	NA
Chang2018	15.0	32.0	auc_inf	apixaban	plasma	HPLC MS/MS	NA	NA	NA	3953.0	NA	NA	NA	NA	NA	NA	ng*hr/ml
Chang2019	15.0	32.0	gmr_auc	apixaban	plasma	HPLC MS/MS	NA	NA	NA	1.438	NA	1.043	1.982	NA	NA	NA	NA
