study	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_unit	y_measurement_type	y_substance	y_tissue	y_method	y_label	y	y_unit	comments
Chang2016	normal	1.0	API10	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearance_vs_auc_inf_normal	24.93386	ml/min	auc_inf	apixaban	plasma	HPLC MS/MS	auc_inf_vs_clearance_normal	5703.25441	ng*hr/ml	NA
Chang2016	normal	1.0	API10	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearance_vs_auc_inf_normal	24.93386	ml/min	auc_inf	apixaban	plasma	HPLC MS/MS	auc_inf_vs_clearance_normal	5422.6637	ng*hr/ml	NA
Chang2016	normal	1.0	API10	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearance_vs_auc_inf_normal	26.30952	ml/min	auc_inf	apixaban	plasma	HPLC MS/MS	auc_inf_vs_clearance_normal	5009.31786	ng*hr/ml	NA
Chang2016	normal	1.0	API10	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearance_vs_auc_inf_normal	28.20106	ml/min	auc_inf	apixaban	plasma	HPLC MS/MS	auc_inf_vs_clearance_normal	4108.68886	ng*hr/ml	NA
Chang2016	normal	1.0	API10	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearance_vs_auc_inf_normal	16.50794	ml/min	auc_inf	apixaban	plasma	HPLC MS/MS	auc_inf_vs_clearance_normal	2852.08626	ng*hr/ml	NA
Chang2016	normal	1.0	API10	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearance_vs_auc_inf_normal	26.13757	ml/min	auc_inf	apixaban	plasma	HPLC MS/MS	auc_inf_vs_clearance_normal	1716.04938	ng*hr/ml	NA
Chang2016	normal	1.0	API10	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearance_vs_auc_inf_normal	27.51323	ml/min	auc_inf	apixaban	plasma	HPLC MS/MS	auc_inf_vs_clearance_normal	1199.32802	ng*hr/ml	NA
Chang2016	mild	1.0	API10	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearance_vs_auc_inf_mild	45.00397	ml/min	auc_inf	apixaban	plasma	HPLC MS/MS	auc_inf_vs_clearance_mild	6366.61686	ng*hr/ml	NA
Chang2016	mild	1.0	API10	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearance_vs_auc_inf_mild	46.03305	ml/min	auc_inf	apixaban	plasma	HPLC MS/MS	auc_inf_vs_clearance_mild	5648.54974	ng*hr/ml	NA
Chang2016	mild	1.0	API10	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearance_vs_auc_inf_mild	36.06365	ml/min	auc_inf	apixaban	plasma	HPLC MS/MS	auc_inf_vs_clearance_mild	4722.34635	ng*hr/ml	NA
