study	name	time	time_end	time_unit	route	application	measurement_type	form	substance	value	unit	comments
Bashir2018	API10	0	NA	hr	oral	single dose	dosing	tablet	apixaban	10	mg	NA
Bashir2018	CYC100	-72|-48|-24|0	NA	hr	oral	single dose	dosing	tablet	cyclosporine 	100	mg	NA
Bashir2018	TAC5	-72|-48|-24|0	NA	hr	oral	single dose	dosing	tablet	fujimycin	5	mg	NA
