uid	name	value	lower_bound	upper_bound	unit	type	reference
BW	body weight [kg]	75.0	63.75	86.25	kg	data	\cite{Ogden2004, Jones2013, Thompson2009, Brown1997}
COBW	cardiac output per bodyweight [ml/s/kg]	1.548	1.3158	1.7802	ml/s/kg	data	\cite{Cattermole2017, Patel2021, Collis2001}
FQgu	gut fractional tissue blood flow	0.18	0.153	0.207	-	data	\cite{Jones2013, Thompson2009, Brown1997}
FQh	hepatic (venous side) fractional tissue blood flow	0.215	0.18275	0.24724999999999997	-	data	\cite{Jones2013, Wynne1989, Thompson2009, Brown1997}
FQki	kidney fractional tissue blood flow	0.19	0.1615	0.21849999999999997	-	data	\cite{Jones2013, Thompson2009, Brown1997}
FVar	arterial fractional tissue volume	0.0257	0.021845	0.029554999999999998	l/kg	data	\cite{Jones2013, Thompson2009, Brown1997}
FVgu	gut fractional tissue volume	0.0171	0.014535	0.019665	l/kg	data	\cite{Jones2013, Thompson2009, Brown1997}
FVki	kidney fractional tissue volume	0.0044	0.0037400000000000003	0.00506	l/kg	data	\cite{Jones2013, Thompson2009, Brown1997}
FVli	liver fractional tissue volume	0.021	0.01785	0.02415	l/kg	data	\cite{Jones2013, Wynne1989, Thompson2009, Brown1997}
FVlu	lung fractional tissue volume	0.0076	0.00646	0.00874	l/kg	data	\cite{Jones2013, Thompson2009, Brown1997}
FVve	venous fractional tissue volume	0.0514	0.04369	0.059109999999999996	l/kg	data	\cite{Jones2013, Thompson2009, Brown1997}
HCT	hematocrit	0.51	0.4335	0.5864999999999999	-	data	\cite{Mondal2025, Fiseha2023}
EC50_api_INR	Effect constant for INR	0.000883732940236046	1e-07	0.01	mmol/l	fitted	
EC50_api_aPTT	Effect constant for aPTT	0.000494153291759925	1e-07	0.01	mmol/l	fitted	
EC50_api_mPT	Effect constant for mPT	0.000189426271250564	1e-07	0.01	mmol/l	fitted	
Emax_INR	Effect constant for INR inhibition	0.751552226973606	0.1	10.0	-	fitted	
Emax_Xa	Effect constant for Xa inhibition	0.686093	1e-06	1000000.0	l/mmol	fitted	
Emax_aPTT	Effect constant for aPTT inhibition	0.444368499749261	0.1	10.0	-	fitted	
Emax_antiXa	Effect constant for anti-Xa activity	0.686093	1e-06	1000000.0	l/ml/mmol	fitted	
Emax_antiXa_gram	Effect constant for anti-Xa activity	0.686093	1e-06	1000000.0	ng*l/ml/mmol	fitted	
Emax_mPT	Effect constant for mPT inhibition	1.56589206567588	0.1	10.0	-	fitted	
GU__APIABS_k	rate of apixaban absorption	0.05	0.001	0.1	1/min	fitted	
KI__APIEX_k	rate of apixaban urinary excretion	0.1	0.001	100.0	1/min	fitted	
Kp_api	tissue/plasma partition coefficient api	200.0	0.01	1.0	-	fitted	
LI__API2M2_k	rate api -> m2 conversion	0.0201879974391193	0.001	100.0	1/min	fitted	
LI__API2M7_k	rate api -> m7 conversion	0.00847502114519145	0.001	100.0	1/min	fitted	
LI__M22M1_k	rate m2 -> m1 conversion	0.1	0.001	100.0	1/min	fitted	
ftissue_api	tissue distribution api	1.0	0.01	10.0	l/min	fitted	
EC50_api_PT	Effect constant for PT	0.00358	0.0030429999999999997	0.004116999999999999	mmol/l	na	
Emax_PT	Effect constant for PT inhibition	3.55309	3.0201265	4.086053499999999	-	na	
GU__Ka_dis_api	Ka_dis [1/hr] dissolution apixaban	0.15	0.1275	0.1725	1/hr	na	
GU__MXEXC_k	rate of metabolite excretion	0.1	0.085	0.11499999999999999	1/min	na	
GU__Vstomach	stomach	1.0	0.85	1.15	l	na	
GU__f_absorption	scaling factor for absorption rate	1.0	0.85	1.15	-	na	
HEIGHT	height [cm]	170.0	144.5	195.49999999999997	cm	na	
KI__M1EX_k	rate of M1 urinary excretion	0.1	0.085	0.11499999999999999	1/min	na	
KI__M7EX_k	rate of M7 urinary excretion	0.1	0.085	0.11499999999999999	1/min	na	
KI__egfr_healthy	estimated glomerular filtration (eGFR) rate healthy	100.0	85.0	114.99999999999999	578.034682080925 µl/min/m^2	na	
LI__APIIM_k	rate apixaban import	1000.0	850.0	1150.0	1/min	na	
LI__M1EX_k	rate M1 export	1000.0	850.0	1150.0	1/min	na	
LI__M7EX_k	rate M7 export	1000.0	850.0	1150.0	1/min	na	
LI__MXEXBI_k	rate for edoxaban metabolites export in bile	9.99999999999998e-05	8.499999999999983e-05	0.00011499999999999976	1/min	na	
GU__F_api_abs	fraction absorbed apixaban	0.66	0.85	1.15	-	scaling	
KI__f_renal_function	parameter for renal function	1.0	0.85	1.15	-	scaling	\cite{Stevens2024}
