study	name	time	time_end	time_unit	route	application	measurement_type	form	substance	value	unit	comments
Metze2021	ED60	0	NA	hr	oral	single dose	dosing	tablet	edoxaban	30	mg	NA
Metze2021	API5	0	NA	hr	oral	multiple dose	dosing	tablet	apixaban	5	mg	twice daily
Metze2021	RIV20	0	NA	hr	oral	single dose	dosing	tablet	rivaroxaban	20	mg	NA
Metze2021	DAB150	0	NA	hr	oral	multiple dose	dosing	tablet	dabigatran	150	mg	twice daily
