study	individual	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_unit	y_measurement_type	y_tissue	y_method	y_label	y	y_mean_pm	y_sd	y_se	y_unit	comments
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_IU	2.8888653499860287e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_IU	0.216216216216217				IU/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_IU	4.044411489980435e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_IU	0.324324324324329				IU/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_IU	5.777730699972079e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_IU	0.432432432432435				IU/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_IU	6.933276839966487e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_IU	0.432432432432435				IU/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_IU	8.088822979960892e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_IU	0.540540540540547				IU/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_IU	9.244369119955322e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_IU	0.648648648648652				IU/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_IU	8.088822979960892e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_IU	0.594594594594596				IU/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_IU	5.777730699972079e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_IU	0.324324324324329				IU/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_IU	0.00010977688329946943	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_IU	0.756756756756757				IU/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_IU	0.00012711007539938562	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_IU	0.864864864864863				IU/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_IU	0.00013866553679932973	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_IU	1.02702702702703				IU/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_IU	0.0001617764595992181	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_IU	1.13513513513513				IU/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_IU	0.00017333192099916215	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_IU	1.40540540540541				IU/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_IU	0.0001848873823991062	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_IU	1.18918918918919				IU/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_IU	0.00020799830519899456	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_IU	1.51351351351351				IU/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_IU	0.00025422015079877043	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_IU	1.78378378378378				IU/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_IU	0.00033510838059837874	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_IU	2.27027027027027				IU/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_IU	0.00035821930339826767	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_IU	2.75675675675675				IU/ml	
