study	individual	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_sd	x_unit	y_measurement_type	y_tissue	y_method	y_label	y	y_mean_pm	y_sd	y_se	y_unit	comments
Frost2021		group5	6.0	IV5	0.05	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_Anti-factor Xa activity_ng_mean	0.0009006845681266876	0.00029379324078888144	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	IV5_Anti-factor Xa activity_vs_apixaban_mean_ng	449.350649350649		96.103896103896		ng/ml	
Frost2021		group5	6.0	IV5	0.166666666666667	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_Anti-factor Xa activity_ng_mean	0.0006328721969158086	7.067466188495103e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	IV5_Anti-factor Xa activity_vs_apixaban_mean_ng	290.909090909091		59.74025974026		ng/ml	
Frost2021		group5	6.0	IV5	0.5	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_Anti-factor Xa activity_ng_mean	0.00047721122745344725	5.3291552879612625e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	IV5_Anti-factor Xa activity_vs_apixaban_mean_ng	207.792207792207		46.753246753247		ng/ml	
Frost2021		group5	6.0	IV5	1.0	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_Anti-factor Xa activity_ng_mean	0.0003473598498464179	8.191321723280088e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	IV5_Anti-factor Xa activity_vs_apixaban_mean_ng	176.623376623376		23.376623376624		ng/ml	
Frost2021		group5	6.0	IV5	2.0	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_Anti-factor Xa activity_ng_mean	0.00031246588417347114	2.284986187012187e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	IV5_Anti-factor Xa activity_vs_apixaban_mean_ng	148.051948051948		23.376623376623		ng/ml	
Frost2021		group5	6.0	IV5	3.0	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_Anti-factor Xa activity_ng_mean	0.0002911731104915539	4.414263555203917e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	IV5_Anti-factor Xa activity_vs_apixaban_mean_ng	132.467532467532		20.779220779221		ng/ml	
Frost2021		group5	6.0	IV5	4.0	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_Anti-factor Xa activity_ng_mean	0.00025284163142849837	4.8790037030374324e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	IV5_Anti-factor Xa activity_vs_apixaban_mean_ng	119.480519480519		15.584415584416		ng/ml	
Frost2021		group5	6.0	IV5	6.0	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_Anti-factor Xa activity_ng_mean	0.00015981401684662112	3.08387972181086e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	IV5_Anti-factor Xa activity_vs_apixaban_mean_ng	70.1298701298701		12.987012987013		ng/ml	
Frost2021		group5	6.0	IV5	8.0	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_Anti-factor Xa activity_ng_mean	0.00011632788522481001	2.2447418155457018e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	IV5_Anti-factor Xa activity_vs_apixaban_mean_ng	49.3506493506494		7.7922077922078		ng/ml	
Frost2021		group5	6.0	IV5	12.0	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_Anti-factor Xa activity_ng_mean	5.835928997187487e-05	1.364573093956605e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	IV5_Anti-factor Xa activity_vs_apixaban_mean_ng	23.3766233766233		7.7922077922077		ng/ml	
Frost2021		group5	6.0	IV5	18.0	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_Anti-factor Xa activity_ng_mean	2.68487492515395e-05	5.137848098534495e-06	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	IV5_Anti-factor Xa activity_vs_apixaban_mean_ng	18.1818181818182		7.7922077922078		ng/ml	
