run	success	duration	cost	Emax_aPTT	EC50_api_aPTT	message	x	x0
1	True	3.1630008220672607	3022.4887121097036	0.584242573057277	0.0001531256744297555	`ftol` termination condition is satisfied.	[5.84242573e-01 1.53125674e-04]	[1.82627152e-01 1.23681865e-04]
9	True	3.950016736984253	3022.6180733981123	0.6844068999939928	0.00018318615329795753	`ftol` termination condition is satisfied.	[6.84406900e-01 1.83186153e-04]	[1.58781910e+00 1.60441467e-04]
3	True	4.132306098937988	3022.6207948301494	0.6846895726840313	0.00018326572820804706	`xtol` termination condition is satisfied.	[6.84689573e-01 1.83265728e-04]	[7.71183413e-01 5.44357859e-04]
4	True	4.512417316436768	3022.622587238353	0.6848579743424716	0.00018331792738194517	`ftol` termination condition is satisfied.	[6.84857974e-01 1.83317927e-04]	[3.04720727e+00 1.08173010e-04]
7	True	3.943378210067749	3022.623418486324	0.6849520558384812	0.0001833421304465899	`ftol` termination condition is satisfied.	[6.84952056e-01 1.83342130e-04]	[0.17592022 0.00023001]
8	True	4.668192148208618	3022.6234376670527	0.6849482628536685	0.0001833426783133872	`ftol` termination condition is satisfied.	[6.84948263e-01 1.83342678e-04]	[0.21010502 0.0006192 ]
2	True	3.4793169498443604	3022.624131228813	0.6850285544733772	0.0001833628437907762	`ftol` termination condition is satisfied.	[6.85028554e-01 1.83362844e-04]	[2.76444107e+00 2.24269891e-04]
6	True	4.296855449676514	3022.624483062307	0.6850339754675507	0.00018337299947273508	`ftol` termination condition is satisfied.	[6.85033975e-01 1.83372999e-04]	[6.15286307e+00 4.09459982e-04]
5	True	3.2079436779022217	3022.624520640312	0.6852994650365789	0.000183370951702883	`xtol` termination condition is satisfied.	[6.85299465e-01 1.83370952e-04]	[0.42065625 0.00055933]
0	True	4.08976936340332	3022.6246578905443	0.6851382828778798	0.00018337796294519142	`xtol` termination condition is satisfied.	[6.85138283e-01 1.83377963e-04]	[7.34251371e+00 4.54739253e-04]
