study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_sd	mean_se	min	max	cv	comments	mean_unit
Tirona2018		control	12.0	API2.5, ROS5	cumulative amount	apixaban	plasma	LC MS/MS	cumulative amount_control_apixaban	0.0	hr	0.0							mole
Tirona2018		control	12.0	API2.5, ROS5	cumulative amount	apixaban	plasma	LC MS/MS	cumulative amount_control_apixaban	12.0	hr	1.3297062023939063e-06	3.220892274211099e-07						mole
