study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Frost2021a	healthy	16.0	API5	INR (change)	NA	plasma	coagulation assay	inr_healthy	0.0	hr	NA	0.0	NA	NA	NA	percent	INR
Frost2021a	healthy	16.0	API5	INR (change)	NA	plasma	coagulation assay	inr_healthy	3.0	hr	NA	10.5848	13.46979	2.88499	0.7212475	percent	NA
Frost2021a	healthy	16.0	API5	INR (change)	NA	plasma	coagulation assay	inr_healthy	3.5	hr	NA	9.49318	12.45614	2.962959999999999	0.7407399999999997	percent	NA
Frost2021a	healthy	16.0	API5	INR (change)	NA	plasma	coagulation assay	inr_healthy	6.0	hr	NA	10.03899	12.76803	2.7290399999999995	0.6822599999999999	percent	NA
Frost2021a	healthy	16.0	API5	INR (change)	NA	plasma	coagulation assay	inr_healthy	12.0	hr	NA	2.08577	4.81481	2.7290399999999995	0.6822599999999999	percent	NA
Frost2021a	healthy	16.0	API5	INR (change)	NA	plasma	coagulation assay	inr_healthy	24.0	hr	NA	5.28265	9.64912	4.36647	1.0916175	percent	NA
Frost2021a	healthy	16.0	API5	INR (change)	NA	plasma	coagulation assay	inr_healthy	48.0	hr	NA	-2.51462	-0.72125	1.79337	0.4483425	percent	NA
Frost2021a	healthy	16.0	API5	INR (change)	NA	plasma	coagulation assay	inr_healthy	72.0	hr	NA	0.91618	4.97076	4.0545800000000005	1.0136450000000001	percent	NA
Frost2021a	healthy	16.0	API5	INR (change)	NA	plasma	coagulation assay	inr_healthy	96.0	hr	NA	-1.26706	0.99415	2.26121	0.5653025	percent	NA
Frost2021a	mild	8.0	API5	INR (change)	NA	plasma	coagulation assay	inr_mild	0.0	hr	NA	0.0	NA	NA	NA	percent	NA
Frost2021a	mild	8.0	API5	INR (change)	NA	plasma	coagulation assay	inr_mild	3.0	hr	NA	14.79532	17.68031	2.8849899999999984	1.0199979963276882	percent	NA
Frost2021a	mild	8.0	API5	INR (change)	NA	plasma	coagulation assay	inr_mild	3.5	hr	NA	9.02534	10.74074	1.7154000000000007	0.606485486223702	percent	NA
Frost2021a	mild	8.0	API5	INR (change)	NA	plasma	coagulation assay	inr_mild	6.0	hr	NA	12.69006	17.29045	4.600389999999999	1.6264834825513903	percent	NA
Frost2021a	mild	8.0	API5	INR (change)	NA	plasma	coagulation assay	inr_mild	12.0	hr	NA	2.0078	5.4386	3.4308	1.2129709724474036	percent	NA
