study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	0.0	hr	NA	NA	NA	NA	NA	ng/ml	log scale
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	1.0	hr	NA	78.78977	89.15806	10.368290000000002	2.5920725000000004	ng/ml	NA
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	2.0	hr	NA	98.12119	134.57113	36.44994000000001	9.112485000000003	ng/ml	NA
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	2.5	hr	NA	100.83803	134.55044	33.712410000000006	8.428102500000001	ng/ml	NA
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	3.0	hr	NA	105.06629	134.52975	29.463460000000012	7.365865000000003	ng/ml	NA
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	3.5	hr	NA	106.50602	129.08797	22.581950000000006	5.6454875000000015	ng/ml	NA
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	4.0	hr	NA	103.61097	125.57524	21.96427	5.4910675	ng/ml	NA
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	6.0	hr	NA	72.45534	87.81499	15.359649999999988	3.839912499999997	ng/ml	NA
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	8.0	hr	NA	52.80247	66.68758	13.885109999999997	3.4712774999999993	ng/ml	NA
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	12.0	hr	NA	27.28225	34.45755	7.1752999999999965	1.7938249999999991	ng/ml	NA
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	16.0	hr	NA	16.39502	22.48543	6.090410000000002	1.5226025000000005	ng/ml	NA
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	24.0	hr	NA	8.69759	13.49746	4.79987	1.1999675	ng/ml	NA
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	30.0	hr	NA	4.55311	7.46503	2.9119199999999994	0.7279799999999998	ng/ml	NA
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	36.0	hr	NA	3.13729	4.01707	0.8797800000000002	0.21994500000000006	ng/ml	NA
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	48.0	hr	NA	1.80512	2.50984	0.70472	0.17618	ng/ml	NA
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	60.0	hr	NA	1.77443	2.79175	1.01732	0.25433	ng/ml	NA
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	72.0	hr	NA	1.45903	1.86818	0.4091499999999999	0.10228749999999998	ng/ml	NA
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	0.0	hr	NA	NA	NA	NA	NA	ng/ml	NA
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	1.0	hr	NA	69.62935	105.12771	35.49835999999999	12.550565538500642	ng/ml	NA
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	2.0	hr	NA	100.85974	144.14051	43.280770000000004	15.302062980987646	ng/ml	NA
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	2.5	hr	NA	106.5355	140.21817	33.68266999999999	11.908622182734339	ng/ml	NA
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	3.0	hr	NA	109.48869	140.20092	30.71222999999999	10.858413049180456	ng/ml	NA
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	3.5	hr	NA	114.07618	140.17937	26.103190000000012	9.228871329800441	ng/ml	NA
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	4.0	hr	NA	106.48964	138.25043	31.76079	11.229134992420942	ng/ml	NA
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	6.0	hr	NA	77.60049	102.13182	24.53133000000001	8.673134897262498	ng/ml	NA
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	8.0	hr	NA	55.02162	73.41432	18.392700000000005	6.502801447164908	ng/ml	NA
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	12.0	hr	NA	31.73214	41.1938	9.461660000000002	3.345201973640755	ng/ml	NA
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	16.0	hr	NA	16.62275	25.44282	8.820070000000001	3.118365653770016	ng/ml	NA
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	24.0	hr	NA	9.44432	14.25921	4.81489	1.7023206848336478	ng/ml	NA
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	30.0	hr	NA	5.01269	8.94715	3.9344600000000005	1.391041673153612	ng/ml	NA
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	36.0	hr	NA	4.0172	7.83876	3.82156	1.351125495355631	ng/ml	NA
