study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Frost2021a	healthy	16.0	API5	Anti-factor Xa activity	NA	plasma	coagulation assay	xa_healthy	0.0	hr	NA	0.10321	0.12703	0.02382	0.005955	IU/ml	Xa activity values under lower limit of quantification are excluded; Rotachrom Heparin assay
Frost2021a	healthy	16.0	API5	Anti-factor Xa activity	NA	plasma	coagulation assay	xa_healthy	3.0	hr	NA	1.80624	1.99679	0.19055	0.0476375	IU/ml	NA
Frost2021a	healthy	16.0	API5	Anti-factor Xa activity	NA	plasma	coagulation assay	xa_healthy	3.5	hr	NA	1.74669	1.94915	0.20246	0.050615	IU/ml	NA
Frost2021a	healthy	16.0	API5	Anti-factor Xa activity	NA	plasma	coagulation assay	xa_healthy	6.0	hr	NA	1.05992	1.17108	0.11116	0.02779	IU/ml	NA
Frost2021a	healthy	16.0	API5	Anti-factor Xa activity	NA	plasma	coagulation assay	xa_healthy	12.0	hr	NA	0.41285	0.48034	0.06749	0.0168725	IU/ml	NA
Frost2021a	healthy	16.0	API5	Anti-factor Xa activity	NA	plasma	coagulation assay	xa_healthy	24.0	hr	NA	0.15482	0.20246	0.04764	0.01191	IU/ml	NA
Frost2021a	healthy	16.0	API5	Anti-factor Xa activity	NA	plasma	coagulation assay	xa_healthy	48.0	hr	NA	0.10718	0.12703	0.01985	0.0049625	IU/ml	NA
Frost2021a	healthy	16.0	API5	Anti-factor Xa activity	NA	plasma	coagulation assay	xa_healthy	72.0	hr	NA	0.10649	0.12306	0.01657	0.0041425	IU/ml	NA
Frost2021a	healthy	16.0	API5	Anti-factor Xa activity	NA	plasma	coagulation assay	xa_healthy	96.0	hr	NA	0.11115	0.12703	0.01588	0.00397	IU/ml	NA
Frost2021a	mild	8.0	API5	Anti-factor Xa activity	NA	plasma	coagulation assay	xa_mild	0.0	hr	NA	0.10718	0.12703	0.01985	0.00701803480327649	IU/ml	NA
Frost2021a	mild	8.0	API5	Anti-factor Xa activity	NA	plasma	coagulation assay	xa_mild	3.0	hr	NA	1.63554	1.84991	0.21437	0.0757912403414801	IU/ml	NA
Frost2021a	mild	8.0	API5	Anti-factor Xa activity	NA	plasma	coagulation assay	xa_mild	3.5	hr	NA	1.59981	1.84594	0.24613	0.0870200960267225	IU/ml	NA
Frost2021a	mild	8.0	API5	Anti-factor Xa activity	NA	plasma	coagulation assay	xa_mild	6.0	hr	NA	1.15917	1.30605	0.14688	0.05192992201034	IU/ml	NA
Frost2021a	mild	8.0	API5	Anti-factor Xa activity	NA	plasma	coagulation assay	xa_mild	12.0	hr	NA	0.5121	0.56767	0.05557	0.0196469619152682	IU/ml	NA
Frost2021a	mild	8.0	API5	Anti-factor Xa activity	NA	plasma	coagulation assay	xa_mild	24.0	hr	NA	0.19055	0.24612	0.05557	0.0196469619152682	IU/ml	NA
Frost2021a	mild	8.0	API5	Anti-factor Xa activity	NA	plasma	coagulation assay	xa_mild	48.0	hr	NA	0.11115	0.12703	0.01588	0.00561442784262119	IU/ml	NA
Frost2021a	mild	8.0	API5	Anti-factor Xa activity	NA	plasma	coagulation assay	xa_mild	72.0	hr	NA	0.10718	0.12306	0.01588	0.00561442784262119	IU/ml	NA
Frost2021a	mild	8.0	API5	Anti-factor Xa activity	NA	plasma	coagulation assay	xa_mild	96.0	hr	NA	0.10321	0.12306	0.01985	0.00701803480327649	IU/ml	NA
Frost2021a	moderate	8.0	API5	Anti-factor Xa activity	NA	plasma	coagulation assay	xa_moderate	0.0	hr	NA	0.10718	0.12306	0.01588	0.00561442784262119	IU/ml	NA
Frost2021a	moderate	8.0	API5	Anti-factor Xa activity	NA	plasma	coagulation assay	xa_moderate	3.0	hr	NA	1.86975	2.06824	0.19849	0.0701768124988589	IU/ml	NA
Frost2021a	moderate	8.0	API5	Anti-factor Xa activity	NA	plasma	coagulation assay	xa_moderate	3.5	hr	NA	1.84594	2.05236	0.20642	0.0729804908862637	IU/ml	NA
Frost2021a	moderate	8.0	API5	Anti-factor Xa activity	NA	plasma	coagulation assay	xa_moderate	6.0	hr	NA	1.11153	1.23062	0.11909	0.042104673285753	IU/ml	NA
Frost2021a	moderate	8.0	API5	Anti-factor Xa activity	NA	plasma	coagulation assay	xa_moderate	12.0	hr	NA	0.44461	0.52798	0.08337	0.0294757461737612	IU/ml	NA
Frost2021a	moderate	8.0	API5	Anti-factor Xa activity	NA	plasma	coagulation assay	xa_moderate	24.0	hr	NA	0.19452	0.25009	0.05557	0.0196469619152682	IU/ml	NA
Frost2021a	moderate	8.0	API5	Anti-factor Xa activity	NA	plasma	coagulation assay	xa_moderate	48.0	hr	NA	0.10718	0.131	0.02382	0.00842164176393178	IU/ml	NA
Frost2021a	moderate	8.0	API5	Anti-factor Xa activity	NA	plasma	coagulation assay	xa_moderate	72.0	hr	NA	0.10321	0.131	0.02779	0.00982524872458708	IU/ml	NA
Frost2021a	moderate	8.0	API5	Anti-factor Xa activity	NA	plasma	coagulation assay	xa_moderate	96.0	hr	NA	0.10321	0.12306	0.01985	0.00701803480327649	IU/ml	NA
