study	name	time	time_end	time_unit	route	application	measurement_type	form	substance	value	unit	comments
Parasrampuria2015	ED60_A	0	NA	hr	oral	single dose	dosing	tablet	edoxaban	60	mg	immediate-release (IR) tablets (treatment A)
Parasrampuria2015	ED60_B	0	NA	hr	oral	single dose	dosing	powder 	edoxaban	60	mg	powder formulation to the distal small bowel (treatment B) 
Parasrampuria2015	ED60_C	0	NA	hr	oral	single dose	dosing	powder	edoxaban	60	mg	powder formulation to ascending colon (treatment C)
Parasrampuria2015	ED60_D	0	NA	hr	oral	single dose	dosing	suspension	edoxaban	60	mg	aqueous suspension delivered to the ascending colon (treatment D)
Parasrampuria2015	ED30_E	0	NA	hr	oral	single dose	dosing	tablet	edoxaban	30	mg	IR tablets (treatment E) 
Parasrampuria2015	ED30_F	0	NA	hr	oral	single dose	dosing	granules	edoxaban	30	mg	granulate formulation with fumaric acid 50 mg, added to acidify the local gastrointestinal tract and enhance solubility, delivered to the ascending colon (treatment F)
