study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Parasrampuria2015	all	8.0	ED60_A	cmax	edoxaban	plasma	LC MS/MS	24.0	hr	230.0	NA	NA	NA	NA	106.0	NA	ng/ml	NA
Parasrampuria2015	all	8.0	ED60_A	tmax	edoxaban	plasma	LC MS/MS	NA	NA	NA	NA	1.0	1.0	1.1	NA	NA	hr	NA
Parasrampuria2015	all	8.0	ED60_A	auc_end	edoxaban	plasma	LC MS/MS	24.0	hr	1403.0	NA	NA	NA	NA	359.0	NA	ng*hr/ml	NA
Parasrampuria2015	all	8.0	ED60_A	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	1498.0	NA	NA	NA	NA	312.0	NA	ng*hr/ml	NA
Parasrampuria2015	all	8.0	ED60_B	cmax	edoxaban	plasma	LC MS/MS	24.0	hr	15.9	NA	NA	NA	NA	8.8	NA	ng/ml	NA
Parasrampuria2015	all	8.0	ED60_B	tmax	edoxaban	plasma	LC MS/MS	NA	NA	NA	NA	7.5	1.1	16.1	NA	NA	hr	NA
Parasrampuria2015	all	8.0	ED60_B	auc_end	edoxaban	plasma	LC MS/MS	24.0	hr	222.0	NA	NA	NA	NA	103.0	NA	ng*hr/ml	NA
Parasrampuria2015	all	8.0	ED60_B	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	274.0	NA	NA	NA	NA	130.0	NA	ng*hr/ml	NA
Parasrampuria2015	all	8.0	ED60_C	cmax	edoxaban	plasma	LC MS/MS	24.0	hr	8.5	NA	NA	NA	NA	4.8	NA	ng/ml	NA
Parasrampuria2015	all	8.0	ED60_C	tmax	edoxaban	plasma	LC MS/MS	NA	NA	NA	NA	14.0	2.0	24.0	NA	NA	hr	NA
Parasrampuria2015	all	8.0	ED60_C	auc_end	edoxaban	plasma	LC MS/MS	24.0	hr	132.0	NA	NA	NA	NA	83.5	NA	ng*hr/ml	NA
Parasrampuria2015	all	8.0	ED60_C	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	ng*hr/ml	NA
Parasrampuria2015	all	8.0	ED60_D	cmax	edoxaban	plasma	LC MS/MS	24.0	hr	7.3	NA	NA	NA	NA	4.9	NA	ng/ml	NA
Parasrampuria2015	all	8.0	ED60_D	tmax	edoxaban	plasma	LC MS/MS	NA	NA	NA	NA	16.0	1.0	24.0	NA	NA	hr	NA
Parasrampuria2015	all	8.0	ED60_D	auc_end	edoxaban	plasma	LC MS/MS	24.0	hr	120.0	NA	NA	NA	NA	85.1	NA	ng*hr/ml	NA
Parasrampuria2015	all	8.0	ED60_D	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	ng*hr/ml	NA
Parasrampuria2015	all	9.0	ED30_E	cmax	edoxaban	plasma	LC MS/MS	24.0	hr	151.6	NA	NA	NA	NA	63.9	NA	ng/ml	NA
Parasrampuria2015	all	9.0	ED30_E	tmax	edoxaban	plasma	LC MS/MS	NA	NA	NA	NA	1.0	0.8	6.0	NA	NA	hr	NA
Parasrampuria2015	all	9.0	ED30_E	auc_end	edoxaban	plasma	LC MS/MS	24.0	hr	903.0	NA	NA	NA	NA	193.0	NA	ng*hr/ml	NA
Parasrampuria2015	all	9.0	ED30_E	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	922.0	NA	NA	NA	NA	194.0	NA	ng*hr/ml	NA
Parasrampuria2015	all	9.0	ED30_F	cmax	edoxaban	plasma	LC MS/MS	24.0	hr	6.2	NA	NA	NA	NA	3.6	NA	ng/ml	NA
Parasrampuria2015	all	9.0	ED30_F	tmax	edoxaban	plasma	LC MS/MS	NA	NA	NA	NA	9.0	3.0	21.0	NA	NA	hr	NA
Parasrampuria2015	all	9.0	ED30_F	auc_end	edoxaban	plasma	LC MS/MS	24.0	hr	127.0	NA	NA	NA	NA	74.1	NA	ng*hr/ml	NA
Parasrampuria2015	all	9.0	ED30_F	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	123.0	NA	NA	NA	NA	81.2	NA	ng*hr/ml	NA
