gid	gname	uid	name	N	mean	median	std	cv	min	q005	q095	max	U	symbol	classification	unit
control	Control	[Cve_api]_aucinf	API AUC∞	1000	0.0006236543656312469	0.0004284163652599585	0.001010357458984369	1.6200599477271538	0.00018704117024931162	0.0002508073978120231	0.0013033096431634885	0.02072790691995893	4.067556823400644	<***>	high	mM*min
control	Control	[Cve_api]_cmax	API Cmax	1000	1.1729061993848615e-06	8.136075320372056e-07	1.7723484335458392e-06	1.5110743164929636	1.3205955790510623e-07	4.28107967933738e-07	2.6279033582244184e-06	3.149598367617662e-05	4.605009044990817	<***>	high	mM
control	Control	[Cve_api]_thalf	API Half-life	1000	283.8778883641948	279.39026715455793	37.64662536727678	0.1326155608110586	241.2062856271949	244.60688363700018	323.5968418670749	692.6872308422729	0.2978772834625896	<*>	low	min
control	Control	[Cve_api]_vd	API Vd	1000	10493.671744582358	10164.32769444794	4769.085104590542	0.4544724878641941	214.8721551815498	3280.655923522692	18324.282961928897	42952.94357555933	1.748237425045088	<**>	medium	l
control	Control	[Cve_api]_cl	API CL	1000	0.02552318876456828	0.02539910888348639	0.010597952234326488	0.4152283765200508	0.0005249634157611462	0.008349046505926128	0.04338545935576117	0.058176458176436095	1.6054921547270413	<**>	medium	mole/min/mM
control	Control	[Cve_api]_kel	API kel	1000	0.0024736140335378264	0.0024809281643210605	0.0002546273230368655	0.10293737001188133	0.0010006640077905192	0.0021420084912106238	0.002833719045155132	0.002873669642387612	0.2935592323377421	<*>	low	1/min
control	Control	[Cve_m1]_aucinf	M1 AUC∞	1000	1.7000091496083403	1.6710459268790303	0.8576229489849411	0.5044813724576284	0.012651600757402572	0.3147754632176334	3.170355062648141	4.372731347970425	1.9577902514115275	<**>	medium	mM*min
control	Control	[Cve_m1]_cmax	M1 Cmax	1000	0.0020003507816456338	0.0019724701636570172	0.001001988847104473	0.5009065691369212	1.4746263415870592e-05	0.000379344061260687	0.0036985890624342535	0.004990462494234911	1.946399478295658	<**>	medium	mmole/l
control	Control	[Cve_m1]_thalf	M1 Half-life	1000	286.7583334888329	283.3057429867325	35.4252825196482	0.1235370637311496	243.73774869741175	248.61465353629876	326.51201926700236	696.1906151266618	0.29266924377859377	<*>	low	min
control	Control	[Cve_m7]_aucinf	M7 AUC∞	1000	1.691739201751855	1.622489865874703	0.8678603962956905	0.5129989276107042	0.003331047093741911	0.31835675101968053	3.164469855932597	4.919297472006518	2.0392009622532665	<***>	high	mM*min
control	Control	[Cve_m7]_cmax	M7 Cmax	1000	0.0019936573219228476	0.0019177280079817152	0.0010136858053156183	0.5084553870762183	3.917506714628802e-06	0.0003759724591015066	0.0037352392899560358	0.005282711710963587	1.9981001995271208	<**>	medium	mmole/l
control	Control	[Cve_m7]_thalf	M7 Half-life	1000	286.77123580937905	282.9335708934808	35.4492461113281	0.12361506903325452	243.2332991741792	249.31380638794906	326.2055027421416	696.7664738252698	0.2893663750891207	<*>	low	min
control	Control	PT_max	max PT	1000	12.514635099815331	12.510238465580265	0.0216229483980745	0.0017278129346650765	12.501443953994851	12.505088814562555	12.532170483443284	12.854008030115422	0.0038601190165123388	<*>	low	s
control	Control	mPT_max	max mPT	1000	53.615077881081845	53.446859527238146	1.1476061144752951	0.02140454065963839	53.4003516430015	53.40488586358753	54.026376228500624	76.73190692521291	0.020017191117553332	<*>	low	s
control	Control	aPTT_max	max aPTT	1000	28.520287280938543	28.423702556847815	0.6317177834783619	0.02214976929424441	28.400106145941447	28.40287987174182	28.738912334579517	43.14393195142211	0.02304595530527578	<*>	low	s
control	Control	INR_max	max INR	1000	1.0940148740387876	1.0910128370745409	0.02324303687362913	0.021245631503914144	1.0900105206437523	1.0900816934014919	1.1026377191159775	1.7481811638110867	0.022727252530232965	<*>	low	dimensionless
control	Control	Xa_inhibition_max	max Xa inhibition	1000	0.5889969075630339	0.38652817885511337	1.041334567907204	1.767979686371717	0.00016726540063735653	0.0357058155348914	1.5259181864498996	16.412466063419078	6.283293214591306	<***>	high	dimensionless
