output	control	unit
API AUC∞	0.000113 (131.2)	mM*min
API Cmax	2.15e-07 (151.8)	mM
API Half-life	284 (13.7)	min
API Vd	5.19e+04 (41.9)	l
API CL	0.127 (39.3)	mole/min/mM
API kel	0.00247 (10.5)	1/min
M1 AUC∞	0.34 (51.6)	mM*min
M1 Cmax	0.000401 (50.8)	mmole/l
M1 Half-life	287 (12.2)	min
M7 AUC∞	0.339 (51.0)	mM*min
M7 Cmax	0.000398 (50.2)	mmole/l
M7 Half-life	287 (12.1)	min
max PT	12.5 (0.0)	s
max mPT	53.4 (0.8)	s
max aPTT	28.4 (0.6)	s
max INR	1 (1.9)	dimensionless
max Xa inhibition	0.107 (140.9)	dimensionless
