study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Raghavan2009	all	10.0	API20	cmax	apixaban and metabolites	plasma	scintillation counting	NA	NA	509.0	NA	NA	NA	81.44	NA	16.0	ng/ml	radioactivity
Raghavan2009	all	10.0	API20	auc_end	apixaban and metabolites	plasma	scintillation counting	36.0	hr	5305.0	NA	NA	NA	1273.2	NA	24.0	ng/ml*hr	radioactivity
Raghavan2009	all	10.0	API20	auc_inf	apixaban and metabolites	plasma	scintillation counting	NA	NA	5872.0	NA	NA	NA	1350.56	NA	23.0	ng/ml*hr	radioactivity
Raghavan2009	all	10.0	API20	tmax	apixaban and metabolites	plasma	scintillation counting	NA	NA	NA	1.0	0.5	2.0	NA	NA	NA	hr	radioactivity
Raghavan2009	all	10.0	API20	thalf	apixaban and metabolites	plasma	scintillation counting	NA	NA	8.2	NA	NA	NA	1.69	NA	NA	hr	radioactivity
Raghavan2009	all	10.0	API20	oral clearance	apixaban and metabolites	plasma	scintillation counting	NA	NA	3405.0	NA	NA	NA	NA	NA	NA	ml/hr	radioactivity
Raghavan2009	group1	6.0	API20	cmax	apixaban and metabolites	plasma	scintillation counting	NA	NA	513.0	NA	NA	NA	102.6	NA	20.0	ng/ml	radioactivity
Raghavan2009	group1	6.0	API20	auc_end	apixaban and metabolites	plasma	scintillation counting	36.0	hr	5087.0	NA	NA	NA	1322.62	NA	26.0	ng/ml*hr	radioactivity
Raghavan2009	group1	6.0	API20	auc_inf	apixaban and metabolites	plasma	scintillation counting	NA	NA	5664.0	NA	NA	NA	1359.36	NA	24.0	ng/ml*hr	radioactivity
Raghavan2009	group1	6.0	API20	tmax	apixaban and metabolites	plasma	scintillation counting	NA	NA	NA	1.0	0.5	2.0	NA	NA	NA	hr	radioactivity
Raghavan2009	group1	6.0	API20	thalf	apixaban and metabolites	plasma	scintillation counting	NA	NA	8.2	NA	NA	NA	1.59	NA	NA	hr	radioactivity
Raghavan2009	group1	6.0	API20	oral clearance	apixaban and metabolites	plasma	scintillation counting	NA	NA	3226.0	NA	NA	NA	NA	NA	NA	ml/hr	radioactivity
Raghavan2009	group2	4.0	API20	cmax	apixaban and metabolites	plasma	scintillation counting	NA	NA	504.0	NA	NA	NA	55.44	NA	11.0	ng/ml	radioactivity
Raghavan2009	group2	4.0	API20	auc_end	apixaban and metabolites	plasma	scintillation counting	36.0	hr	5649.0	NA	NA	NA	1242.78	NA	22.0	ng/ml*hr	radioactivity
Raghavan2009	group2	4.0	API20	auc_inf	apixaban and metabolites	plasma	scintillation counting	NA	NA	6198.0	NA	NA	NA	1425.54	NA	23.0	ng/ml*hr	radioactivity
Raghavan2009	group2	4.0	API20	tmax	apixaban and metabolites	plasma	scintillation counting	NA	NA	NA	1.25	0.5	2.0	NA	NA	NA	hr	radioactivity
Raghavan2009	group2	4.0	API20	thalf	apixaban and metabolites	plasma	scintillation counting	NA	NA	8.2	NA	NA	NA	2.09	NA	NA	hr	radioactivity
Raghavan2009	group2	4.0	API20	oral clearance	apixaban and metabolites	plasma	scintillation counting	NA	NA	3226.0	NA	NA	NA	NA	NA	NA	ml/hr	radioactivity
Raghavan2009	all	10.0	API20	cmax	apixaban	plasma	HPLC MS/MS	NA	NA	469.0	NA	NA	NA	79.73	NA	17.0	ng/ml	NA
Raghavan2009	all	10.0	API20	auc_end	apixaban	plasma	HPLC MS/MS	72.0	hr	4050.0	NA	NA	NA	1012.5	NA	25.0	ng/ml*hr	NA
Raghavan2009	all	10.0	API20	auc_inf	apixaban	plasma	HPLC MS/MS	NA	NA	4101.0	NA	NA	NA	1025.25	NA	25.0	ng/ml*hr	NA
Raghavan2009	all	10.0	API20	tmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	1.0	0.5	2.0	NA	NA	NA	hr	NA
Raghavan2009	all	10.0	API20	thalf	apixaban	plasma	HPLC MS/MS	NA	NA	12.7	NA	NA	NA	8.55	NA	NA	hr	NA
Raghavan2009	all	10.0	API20	oral clearance	apixaban	plasma	HPLC MS/MS	NA	NA	4876.0	NA	NA	NA	NA	NA	NA	ml/hr	NA
Raghavan2009	group1	6.0	API20	cmax	apixaban	plasma	HPLC MS/MS	NA	NA	480.0	NA	NA	NA	81.6	NA	17.0	ng/ml	NA
Raghavan2009	group1	6.0	API20	auc_end	apixaban	plasma	HPLC MS/MS	72.0	hr	4055.0	NA	NA	NA	1216.5	NA	30.0	ng/ml*hr	NA
Raghavan2009	group1	6.0	API20	auc_inf	apixaban	plasma	HPLC MS/MS	NA	NA	4100.0	NA	NA	NA	1230.0	NA	30.0	ng/ml*hr	NA
Raghavan2009	group1	6.0	API20	tmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	1.0	0.5	2.0	NA	NA	NA	hr	NA
Raghavan2009	group1	6.0	API20	thalf	apixaban	plasma	HPLC MS/MS	NA	NA	12.2	NA	NA	NA	8.48	NA	NA	hr	NA
Raghavan2009	group1	6.0	API20	oral clearance	apixaban	plasma	HPLC MS/MS	NA	NA	4878.0	NA	NA	NA	NA	NA	NA	ml/hr	NA
Raghavan2009	group2	4.0	API20	cmax	apixaban	plasma	HPLC MS/MS	NA	NA	453.0	NA	NA	NA	54.36	NA	12.0	ng/ml	NA
Raghavan2009	group2	4.0	API20	auc_end	apixaban	plasma	HPLC MS/MS	72.0	hr	4041.0	NA	NA	NA	808.2	NA	20.0	ng/ml*hr	NA
Raghavan2009	group2	4.0	API20	auc_inf	apixaban	plasma	HPLC MS/MS	NA	NA	4103.0	NA	NA	NA	820.6	NA	20.0	ng/ml*hr	NA
Raghavan2009	group2	4.0	API20	tmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	1.25	0.5	2.0	NA	NA	NA	hr	NA
Raghavan2009	group2	4.0	API20	thalf	apixaban	plasma	HPLC MS/MS	NA	NA	13.5	NA	NA	NA	9.91	NA	NA	hr	NA
Raghavan2009	group2	4.0	API20	oral clearance	apixaban	plasma	HPLC MS/MS	NA	NA	4874.0	NA	NA	NA	NA	NA	NA	ml/hr	NA
