study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Duchin2018	all	29.0	EDO60	cmax	edoxaban-M4	plasma	LC MS/MS	NA	NA	22.0	9.0	NA	NA	NA	NA	NA	ng/ml	NA
Duchin2018	all	28.0	EDO60	auc_inf	edoxaban-M4	plasma	LC MS/MS	NA	NA	169.0	57.0	NA	NA	NA	NA	NA	ng*hr/ml	NA
Duchin2018	all	29.0	EDO60	auc_end	edoxaban-M4	plasma	LC MS/MS	72.0	hr	164.0	56.0	NA	NA	NA	NA	NA	ng*hr/ml	NA
Duchin2018	all	29.0	EDO60	tmax	edoxaban-M4	plasma	LC MS/MS	NA	NA	NA	NA	2.0	1.0	10.0	NA	NA	hr	NA
Duchin2018	all	28.0	EDO60	thalf	edoxaban-M4	plasma	LC MS/MS	NA	NA	11.0	3.6	NA	NA	NA	NA	NA	hr	NA
Duchin2018	all	28.0	EDO60	oral clearance	edoxaban-M4	plasma	LC MS/MS	NA	NA	8.6	2.5	NA	NA	NA	NA	NA	l/hr	NA
Duchin2018	all	30.0	EDO60_solution	cmax	edoxaban-M4	plasma	LC MS/MS	NA	NA	20.5	7.2	NA	NA	NA	NA	NA	ng/ml	NA
Duchin2018	all	30.0	EDO60_solution	auc_inf	edoxaban-M4	plasma	LC MS/MS	NA	NA	158.0	46.0	NA	NA	NA	NA	NA	ng*hr/ml	NA
Duchin2018	all	30.0	EDO60_solution	auc_end	edoxaban-M4	plasma	LC MS/MS	72.0	hr	157.0	46.0	NA	NA	NA	NA	NA	ng*hr/ml	NA
Duchin2018	all	30.0	EDO60_solution	tmax	edoxaban-M4	plasma	LC MS/MS	NA	NA	NA	NA	1.5	1.0	3.0	NA	NA	hr	NA
Duchin2018	all	30.0	EDO60_solution	thalf	edoxaban-M4	plasma	LC MS/MS	NA	NA	9.9	3.2	NA	NA	NA	NA	NA	hr	NA
Duchin2018	all	30.0	EDO60_solution	oral clearance	edoxaban-M4	plasma	LC MS/MS	NA	NA	8.3	2.2	NA	NA	NA	NA	NA	l/hr	NA
Duchin2018	all	30.0	EDO60_puree	cmax	edoxaban-M4	plasma	LC MS/MS	NA	NA	22.5	9.9	NA	NA	NA	NA	NA	ng/ml	NA
Duchin2018	all	30.0	EDO60_puree	auc_inf	edoxaban-M4	plasma	LC MS/MS	NA	NA	166.0	57.0	NA	NA	NA	NA	NA	ng*hr/ml	NA
Duchin2018	all	30.0	EDO60_puree	auc_end	edoxaban-M4	plasma	LC MS/MS	72.0	hr	161.0	56.0	NA	NA	NA	NA	NA	ng*hr/ml	NA
Duchin2018	all	30.0	EDO60_puree	tmax	edoxaban-M4	plasma	LC MS/MS	NA	NA	NA	NA	1.5	1.0	3.0	NA	NA	hr	NA
Duchin2018	all	30.0	EDO60_puree	thalf	edoxaban-M4	plasma	LC MS/MS	NA	NA	9.9	2.7	NA	NA	NA	NA	NA	hr	NA
Duchin2018	all	30.0	EDO60_puree	oral clearance	edoxaban-M4	plasma	LC MS/MS	NA	NA	8.4	2.4	NA	NA	NA	NA	NA	l/hr	NA
