study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Duchin2018	all	29.0	EDO60	cmax	edoxaban	plasma	LC MS/MS	NA	NA	293.0	NA	NA	NA	NA	107.0	NA	ng/ml	NA
Duchin2018	all	28.0	EDO60	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	2132.0	NA	NA	NA	NA	547.0	NA	ng*hr/ml	NA
Duchin2018	all	29.0	EDO60	auc_end	edoxaban	plasma	LC MS/MS	72.0	hr	2089.0	NA	NA	NA	NA	548.0	NA	ng*hr/ml	NA
Duchin2018	all	29.0	EDO60	tmax	edoxaban	plasma	LC MS/MS	NA	NA	NA	NA	1.5	0.5	8.0	NA	NA	hr	NA
Duchin2018	all	28.0	EDO60	thalf	edoxaban	plasma	LC MS/MS	NA	NA	11.5	NA	NA	NA	NA	3.3	NA	hr	NA
Duchin2018	all	28.0	EDO60	oral clearance	edoxaban	plasma	LC MS/MS	NA	NA	30.1	NA	NA	NA	NA	8.0	NA	l/hr	NA
Duchin2018	all	30.0	EDO60_solution	cmax	edoxaban	plasma	LC MS/MS	NA	NA	283.0	NA	NA	NA	NA	95.0	NA	ng/ml	NA
Duchin2018	all	30.0	EDO60_solution	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	2021.0	NA	NA	NA	NA	423.0	NA	ng*hr/ml	NA
Duchin2018	all	30.0	EDO60_solution	auc_end	edoxaban	plasma	LC MS/MS	72.0	hr	1993.0	NA	NA	NA	NA	413.0	NA	ng*hr/ml	NA
Duchin2018	all	30.0	EDO60_solution	tmax	edoxaban	plasma	LC MS/MS	NA	NA	NA	NA	1.0	0.5	3.0	NA	NA	hr	NA
Duchin2018	all	30.0	EDO60_solution	thalf	edoxaban	plasma	LC MS/MS	NA	NA	10.8	NA	NA	NA	NA	3.7	NA	hr	NA
Duchin2018	all	30.0	EDO60_solution	oral clearance	edoxaban	plasma	LC MS/MS	NA	NA	31.0	NA	NA	NA	NA	6.5	NA	l/hr	NA
Duchin2018	all	30.0	EDO60_puree	cmax	edoxaban	plasma	LC MS/MS	NA	NA	303.0	NA	NA	NA	NA	96.0	NA	ng/ml	NA
Duchin2018	all	30.0	EDO60_puree	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	2076.0	NA	NA	NA	NA	453.0	NA	ng*hr/ml	NA
Duchin2018	all	30.0	EDO60_puree	auc_end	edoxaban	plasma	LC MS/MS	72.0	hr	2051.0	NA	NA	NA	NA	451.0	NA	ng*hr/ml	NA
Duchin2018	all	30.0	EDO60_puree	tmax	edoxaban	plasma	LC MS/MS	NA	NA	NA	NA	1.0	0.5	1.5	NA	NA	hr	NA
Duchin2018	all	30.0	EDO60_puree	thalf	edoxaban	plasma	LC MS/MS	NA	NA	10.9	NA	NA	NA	NA	3.3	NA	hr	NA
Duchin2018	all	30.0	EDO60_puree	oral clearance	edoxaban	plasma	LC MS/MS	NA	NA	30.2	NA	NA	NA	NA	6.3	NA	l/hr	NA
