study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_pm	mean_sd	mean_se	comments	mean_unit
Wang2014		all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	0.0	hr	0.0					mole/meter^3
Wang2014		all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	0.5	hr	0.00022565100314406967	115.586036401853	2.589641013526224e-05	6.103842405010664e-06		mole/meter^3
Wang2014		all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	1.0	hr	0.0005014466736534907	244.186810299527	2.997184712894081e-05	7.0644321165201965e-06		mole/meter^3
Wang2014		all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	1.5	hr	0.0006518806757495365				SD NR	mole/meter^3
Wang2014		all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	2.0	hr	0.0007170687433244918	345.321979649357	3.444807854571034e-05	8.119489979506202e-06		mole/meter^3
Wang2014		all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	2.5	hr	0.000752170010480235	517.281326135767	0.00037357825096865727	8.80532381879158e-05		mole/meter^3
Wang2014		all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	3.0	hr	0.0007672134106898412	407.874275896901	0.00012043463261135975	2.8386715136401088e-05		mole/meter^3
Wang2014		all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	4.0	hr	0.0007872712776359805	475.308125925572	0.00024713160794741896	5.824947860838499e-05		mole/meter^3
Wang2014		all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	6.0	hr	0.0005716492079649794	409.10419484223	0.0003186754815719739	7.511253133914385e-05		mole/meter^3
Wang2014		all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	6.5	hr	0.0005164900738630947	319.167104571729	0.00017810645404055866	4.1980093808389775e-05		mole/meter^3
Wang2014		all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	8.0	hr	0.0004061718056593276	258.425691491903	0.00015623448703251796	3.682482174529837e-05		mole/meter^3
Wang2014		all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	10.0	hr	0.00033095480461130364	203.449696651221	0.0001118084089930938	2.6353494730898585e-05		mole/meter^3
Wang2014		all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	12.0	hr	0.00022565100314406967	144.144413127598	8.804739321631577e-05	2.0752969603018437e-05		mole/meter^3
Wang2014		all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	18.0	hr	0.00013390220555251772	77.4882959919744	3.4733911949058763e-05	8.18686155877197e-06		mole/meter^3
Wang2014		all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	24.0	hr	0.0001051279949853926	59.9681125495629	2.537932285914037e-05	5.981963765206964e-06		mole/meter^3
Wang2014		all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	36.0	hr	3.474478537388771e-05	24.5852794458473	1.875963126560588e-05	4.421687493489706e-06		mole/meter^3
Wang2014		all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	48.0	hr	2.247050978794494e-05	16.6819226330603	1.3834000838954516e-05	3.260705268055038e-06		mole/meter^3
Wang2014		all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	72.0	hr	1.0598119510670665e-05	7.14770576794182	4.957279331422503e-06	1.1684419438282548e-06		mole/meter^3
