study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Mendell2013b	all	126.0	NA	species	126.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Mendell2013b	all	126.0	NA	healthy	126.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Mendell2013b	all	126.0	NA	ethnicity	38.0	NA	black	NA	NA	NA	NA	NA	NA	NA	NA
Mendell2013b	all	126.0	NA	ethnicity	80.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
Mendell2013b	all	126.0	NA	ethnicity	65.0	NA	hispanic	NA	NA	NA	NA	NA	NA	NA	NA
Mendell2013b	all	126.0	NA	pregnant	126.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Mendell2013b	all	126.0	NA	medication	126.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Mendell2013b	all	126.0	NA	sex	77.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Mendell2013b	all	126.0	NA	sex	49.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Mendell2013b	all	126.0	NA	overnight fast	126.0	NA	NR	NA	NA	NA	NA	NA	NA	NA	NA
Mendell2013b	low_asp	36.0	all	sex	32.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Mendell2013b	low_asp	36.0	all	sex	4.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Mendell2013b	low_asp	36.0	all	ethnicity	23.0	NA	black	NA	NA	NA	NA	NA	NA	NA	NA
Mendell2013b	low_asp	36.0	all	ethnicity	12.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
Mendell2013b	low_asp	36.0	all	ethnicity	11.0	NA	hispanic	NA	NA	NA	NA	NA	NA	NA	NA
Mendell2013b	low_asp	36.0	all	age	36.0	NA	NA	31.8	NA	7.69	NA	NA	NA	yr	NA
Mendell2013b	low_asp	36.0	all	height	36.0	NA	NA	175.3	NA	11.56	NA	NA	NA	cm	NA
