study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Mendell2013b	low_asp	34.0	ED60x5, ASA100	auc_end	edoxaban	plasma	LC MS/MS	24.0	hr	1662.0	472.4	NA	NA	NA	NA	NA	ng*hr/ml	NA
Mendell2013b	low_asp	34.0	ED60x5, ASA100	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	1754.9	446.9	NA	NA	NA	NA	NA	ng*hr/ml	NA
Mendell2013b	low_asp	34.0	ED60x5, ASA100	cmax	edoxaban	plasma	LC MS/MS	24.0	hr	276.0	105.8	NA	NA	NA	NA	NA	ng/ml	NA
Mendell2013b	low_asp	34.0	ED60x5	auc_end	edoxaban	plasma	LC MS/MS	24.0	hr	1664.7	430.1	NA	NA	NA	NA	NA	ng*hr/ml	NA
Mendell2013b	low_asp	34.0	ED60x5	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	1752.8	418.2	NA	NA	NA	NA	NA	ng*hr/ml	NA
Mendell2013b	low_asp	34.0	ED60x5	cmax	edoxaban	plasma	LC MS/MS	24.0	hr	265.5	93.8	NA	NA	NA	NA	NA	ng/ml	NA
Mendell2013b	low_asp	34.0	ED60x5, ASA100	auc_end	edoxaban	plasma	LC MS/MS	96.0	hr	1824.5	390.9	NA	NA	NA	NA	NA	ng*hr/ml	NA
Mendell2013b	low_asp	34.0	ED60x5, ASA100	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	2077.9	335.3	NA	NA	NA	NA	NA	ng*hr/ml	NA
Mendell2013b	low_asp	34.0	ED60x5, ASA100	cmax	edoxaban	plasma	LC MS/MS	96.0	hr	268.6	97.6	NA	NA	NA	NA	NA	ng/ml	NA
Mendell2013b	low_asp	34.0	ED60x5	auc_end	edoxaban	plasma	LC MS/MS	96.0	hr	1759.3	410.8	NA	NA	NA	NA	NA	ng*hr/ml	NA
Mendell2013b	low_asp	34.0	ED60x5	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	2035.7	359.2	NA	NA	NA	NA	NA	ng*hr/ml	NA
Mendell2013b	low_asp	34.0	ED60x5	cmax	edoxaban	plasma	LC MS/MS	96.0	hr	250.6	92.6	NA	NA	NA	NA	NA	ng/ml	NA
