study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_pm	sd	se	unit	comments
Frost2014a	NA	all	21.0	API10	concentration	apixaban	plasma	LC MS/MS	API10_all_apixaban	0.0	hr	0.0	NA	NA	NA	ng/ml	NA
Frost2014a	NA	all	21.0	API10	concentration	apixaban	plasma	LC MS/MS	API10_all_apixaban	1.0	hr	91.9471153846154	NA	NA	NA	ng/ml	NA
Frost2014a	NA	all	21.0	API10	concentration	apixaban	plasma	LC MS/MS	API10_all_apixaban	2.0	hr	148.4375	NA	NA	NA	ng/ml	NA
Frost2014a	NA	all	21.0	API10	concentration	apixaban	plasma	LC MS/MS	API10_all_apixaban	3.0	hr	162.860576923077	NA	NA	NA	ng/ml	NA
Frost2014a	NA	all	21.0	API10	concentration	apixaban	plasma	LC MS/MS	API10_all_apixaban	4.0	hr	162.259615384615	NA	NA	NA	ng/ml	NA
Frost2014a	NA	all	21.0	API10	concentration	apixaban	plasma	LC MS/MS	API10_all_apixaban	6.0	hr	113.581730769231	NA	NA	NA	ng/ml	NA
Frost2014a	NA	all	21.0	API10	concentration	apixaban	plasma	LC MS/MS	API10_all_apixaban	8.0	hr	80.5288461538461	NA	NA	NA	ng/ml	NA
Frost2014a	NA	all	21.0	API10	concentration	apixaban	plasma	LC MS/MS	API10_all_apixaban	12.0	hr	43.2692307692307	NA	NA	NA	ng/ml	NA
Frost2014a	NA	all	21.0	API10	concentration	apixaban	plasma	LC MS/MS	API10_all_apixaban	18.0	hr	19.2307692307692	NA	NA	NA	ng/ml	NA
Frost2014a	NA	all	21.0	API10	concentration	apixaban	plasma	LC MS/MS	API10_all_apixaban	24.0	hr	11.4182692307692	NA	NA	NA	ng/ml	NA
Frost2014a	NA	all	21.0	API10	concentration	apixaban	plasma	LC MS/MS	API10_all_apixaban	36.0	hr	5.40865384615375	NA	NA	NA	ng/ml	NA
Frost2014a	NA	all	21.0	API10	concentration	apixaban	plasma	LC MS/MS	API10_all_apixaban	48.0	hr	4.20673076923072	NA	NA	NA	ng/ml	NA
Frost2014a	NA	all	21.0	API10	concentration	apixaban	plasma	LC MS/MS	API10_all_apixaban	60.0	hr	3.00480769230762	NA	NA	NA	ng/ml	NA
Frost2014a	NA	all	21.0	API10	concentration	apixaban	plasma	LC MS/MS	API10_all_apixaban	72.0	hr	3.00480769230762	NA	NA	NA	ng/ml	NA
Frost2014a	NA	all	21.0	API10, NAPR500	concentration	apixaban	plasma	LC MS/MS	API10, NAPR500_all_apixaban	0.0	hr	0.0	NA	NA	NA	ng/ml	NA
Frost2014a	NA	all	21.0	API10, NAPR500	concentration	apixaban	plasma	LC MS/MS	API10, NAPR500_all_apixaban	1.0	hr	145.432692307692	NA	NA	NA	ng/ml	NA
