study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	sd	se	min	max	cv	unit	comments
Frost2014a	NA	all	21.0	API10	Anti-factor Xa activity	NA	plasma	colorimetric assay	API10_Anti-factor Xa activity_all	0.0	hr	0.0	NA	NA	NA	NA	NA	IU/ml	NA
Frost2014a	NA	all	21.0	API10	Anti-factor Xa activity	NA	plasma	colorimetric assay	API10_Anti-factor Xa activity_all	3.0	hr	2.7	0.7	NA	NA	NA	NA	IU/ml	NA
Frost2014a	NA	all	21.0	API10	inr	NA	plasma	coagulation assay	API10_inr_all	0.0	hr	0.94	0.04	NA	NA	NA	NA	dimensionless	NA
Frost2014a	NA	all	21.0	API10	inr	NA	plasma	coagulation assay	API10_inr_all	3.0	hr	1.07	0.07	NA	NA	NA	NA	dimensionless	NA
Frost2014a	NA	all	21.0	API10	inr (change)	NA	plasma	coagulation assay	API10_inr (change)_all	3.0	hr	14.0	6.0	NA	NA	NA	NA	dimensionless	NA
Frost2014a	NA	all	21.0	API10	AA-induced aggregation	NA	plasma	coagulation assay	API10_AA-induced aggregation_all	0.0	hr	73.9	18.8	NA	NA	NA	NA	percent	arachidonic acid-induced platelet aggregation
Frost2014a	NA	all	21.0	API10	AA-induced aggregation	NA	plasma	coagulation assay	API10_AA-induced aggregation_all	3.0	hr	73.3	14.1	NA	NA	NA	NA	percent	NA
Frost2014a	NA	all	21.0	API10	AA-induced aggregation	NA	plasma	coagulation assay	API10_AA-induced aggregation_all	3.0	hr	-4.0	26.0	NA	NA	NA	NA	percent	NA
Frost2014a	NA	all	21.0	API10	bleeding time	NA	plasma	coagulation assay	API10_bleeding time_all	0.0	hr	4.5	2.1	NA	NA	NA	NA	min	NA
Frost2014a	NA	all	21.0	API10	bleeding time	NA	plasma	coagulation assay	API10_bleeding time_all	3.0	hr	5.8	2.3	NA	NA	NA	NA	min	NA
Frost2014a	NA	all	21.0	API10	bleeding time	NA	plasma	coagulation assay	API10_bleeding time_all	3.0	hr	51.0	86.0	NA	NA	NA	NA	min	NA
Frost2014a	NA	all	21.0	NAPR500	Anti-factor Xa activity	NA	plasma	colorimetric assay	NAPR500_Anti-factor Xa activity_all	0.0	hr	0.0	NA	NA	NA	NA	NA	IU/ml	NA
