study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_sd	mean_se	min	max	cv	comments	mean_unit
Frost2014a		all	21.0	API10	AA-induced aggregation		plasma	coagulation assay	API10_AA-induced aggregation_all	0.0	hr	73.9	18.8					arachidonic acid-induced platelet aggregation	percent
Frost2014a		all	21.0	API10	AA-induced aggregation		plasma	coagulation assay	API10_AA-induced aggregation_all	3.0	hr	73.3	14.1						percent
Frost2014a		all	21.0	API10	AA-induced aggregation		plasma	coagulation assay	API10_AA-induced aggregation_all	3.0	hr	-4.0	26.0						percent
