study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_sd	mean_se	min	max	cv	comments	mean_unit
Frost2014a		all	21.0	API10	bleeding time		plasma	coagulation assay	API10_bleeding time_all	0.0	hr	4.5	2.1						min
Frost2014a		all	21.0	API10	bleeding time		plasma	coagulation assay	API10_bleeding time_all	3.0	hr	5.8	2.3						min
Frost2014a		all	21.0	API10	bleeding time		plasma	coagulation assay	API10_bleeding time_all	3.0	hr	51.0	86.0						min
