study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_sd	mean_se	min	max	cv	comments	mean_unit
Frost2014a		all	21.0	API10	Anti-factor Xa activity		plasma	colorimetric assay	API10_Anti-factor Xa activity_all	0.0	hr	0.0							IU/ml
Frost2014a		all	21.0	API10	Anti-factor Xa activity		plasma	colorimetric assay	API10_Anti-factor Xa activity_all	3.0	hr	2.7	0.7						IU/ml
