study	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_unit	y_measurement_type	y_substance	y_tissue	y_method	y_label	y	y_unit	comments
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	77.9310344827586	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	3.78640776699029	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	78.2758620689655	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	5.35922330097087	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	78.6206896551724	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	3.84466019417475	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	78.6206896551724	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	4.07766990291262	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	78.6206896551724	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	4.31067961165048	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	79.6551724137931	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	3.32038834951456	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	80.6896551724138	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	4.89320388349514	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	84.4827586206896	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	3.78640776699029	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	85.5172413793103	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	3.26213592233009	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	85.5172413793103	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	5.126213592233	l/hr	NA
