run	success	duration	cost	ftissue_api	Kp_api	GU__APIABS_k	LI__API2M2_k	LI__API2M7_k	LI__M22M1_k	KI__APIEX_k	message	x	x0
0	True	3.7398593425750732	20.004414231542416	0.037963478362851855	0.07068619256321194	0.09748128177488215	0.006066477485602607	0.010878290026123026	0.0036090742387047056	0.12880581417016992	`xtol` termination condition is satisfied.	"[0.03796348 0.07068619 0.09748128 0.00606648 0.01087829 0.00360907
 0.12880581]"	"[7.26100670e+00 2.66552150e-01 3.87668095e-03 4.17299860e-03
 7.05302072e+01 1.32964644e-01 4.45644521e+01]"
8	True	3.349375009536743	20.011290866180637	0.017244285187688113	0.010996806309226457	0.09573494723733293	0.0011391692545435898	0.0015176317993951562	34.4948958202256	0.2124767381630907	`xtol` termination condition is satisfied.	"[1.72442852e-02 1.09968063e-02 9.57349472e-02 1.13916925e-03
 1.51763180e-03 3.44948958e+01 2.12476738e-01]"	"[0.30232774 0.02479302 0.01491228 0.00313958 0.00357922 0.01524256
 0.45506781]"
6	True	8.26746416091919	20.051158340089682	0.03488406823776203	0.08429949808405858	0.092859277505331	0.01563603799789816	0.009463644538333683	0.1782634232071927	0.08661823282994155	`xtol` termination condition is satisfied.	"[0.03488407 0.0842995  0.09285928 0.01563604 0.00946364 0.17826342
 0.08661823]"	"[7.14939376e+00 7.40635804e-01 7.25970877e-03 9.71830455e+01
 2.78797959e-01 5.62568110e+01 2.92787671e-03]"
3	True	3.9606125354766846	20.05557042166722	0.04510262944934872	0.02502331435750424	0.08378231939724776	0.0040572746433835865	0.0022204104248191355	0.20925079211728942	0.18917812214927196	`xtol` termination condition is satisfied.	"[0.04510263 0.02502331 0.08378232 0.00405727 0.00222041 0.20925079
 0.18917812]"	"[1.43239361e-01 1.33409349e-01 2.82339335e-03 6.25341265e-03
 1.14239505e-03 3.66898645e+00 3.74426149e-01]"
1	True	3.740971565246582	20.06572485900803	0.0699011671742013	0.02168113214656525	0.09134954699712554	0.017320399136478024	0.013468072409138518	11.145011094554937	0.06353792927042975	`xtol` termination condition is satisfied.	"[ 0.06990117  0.02168113  0.09134955  0.0173204   0.01346807 11.14501109
  0.06353793]"	"[1.45996338e-01 2.37863170e-02 1.56592311e-02 6.93371687e+00
 9.43867342e-02 2.01057871e+01 1.27190745e-01]"
7	True	3.6337156295776367	20.065855523014392	0.04172635272687591	0.01562619386931512	0.09263886057129712	0.015655872786348876	0.015320254726378	4.06394211559831	0.06445020874141505	`xtol` termination condition is satisfied.	"[0.04172635 0.01562619 0.09263886 0.01565587 0.01532025 4.06394212
 0.06445021]"	"[0.1829063  0.0186289  0.01573635 0.03340494 0.67525412 0.1564497
 8.39591111]"
4	True	3.963533878326416	20.070681324903273	0.03309702414628073	0.04881106302317268	0.08341341683706824	0.003435383982870925	0.010948000747432898	1.0470532760510791	0.14534592359784795	`xtol` termination condition is satisfied.	"[0.03309702 0.04881106 0.08341342 0.00343538 0.010948   1.04705328
 0.14534592]"	"[6.40872907e-01 4.91234025e-02 1.10855400e-03 2.28951913e-03
 2.41709417e+00 2.00749081e+00 2.65089801e+00]"
2	True	6.807574033737183	20.087554165090854	0.04559170912559544	0.0581855823722877	0.09417544371103202	0.036194142324151565	0.005461953886300969	0.0613544566356291	0.009644581093145399	`xtol` termination condition is satisfied.	"[0.04559171 0.05818558 0.09417544 0.03619414 0.00546195 0.06135446
 0.00964458]"	"[3.74254757e+00 6.79746670e-02 2.02763752e-02 9.94158091e-01
 1.56671602e+01 2.71612191e-03 1.63290851e-02]"
5	True	2.3540585041046143	20.13660012866369	0.027068937323506324	0.010293471560639523	0.08399414998430425	0.03953925438630056	0.0030292671365845353	2.415446700266063	0.010414656807701064	`xtol` termination condition is satisfied.	"[0.02706894 0.01029347 0.08399415 0.03953925 0.00302927 2.4154467
 0.01041466]"	"[1.37940456e-02 7.43081501e-01 3.02193112e-02 8.72564670e+00
 3.64050221e-03 2.11093018e-01 9.79554520e-03]"
9	True	5.090595960617065	20.310368435093586	0.3412351515356477	0.010509447120741134	0.08581614597111767	0.04269182877502985	0.0010330591336332273	2.136493201353699	0.0020139430682156122	`xtol` termination condition is satisfied.	"[3.41235152e-01 1.05094471e-02 8.58161460e-02 4.26918288e-02
 1.03305913e-03 2.13649320e+00 2.01394307e-03]"	"[3.42562582e+00 2.14956871e-01 4.19270380e-03 4.14459143e+01
 9.10728120e-01 1.65337695e+01 1.20007329e-02]"
