study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild	0.0	hr						linear	mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild	1.0	hr		0.00014618126224156692	105.04012	8.24152992383025e-05	2.9138208482461154e-05	linear	mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild	2.0	hr		0.00019836191512513602	131.67984	8.821009793253536e-05	3.118697920861262e-05	linear	mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild	2.5	hr		0.00021125075081610448	133.75743	7.984267682263331e-05	2.8228649104685093e-05	linear	mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild	3.0	hr		0.0002106183460282916	131.98755	7.662332970620239e-05	2.7090438016174102e-05	linear	mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild	3.5	hr		0.00022093745375408052	125.48591	5.215484221980414e-05	1.8439521302668988e-05	linear	mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild	4.0	hr		0.00022353153427638739	122.23674	4.2489662676822636e-05	1.5022364304555125e-05	linear	mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild	6.0	hr		0.00017142824809575629	104.80679	5.6660522306855274e-05	2.003251977437452e-05	linear	mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild	8.0	hr		0.00012254718171926006	77.31635	4.571473340587595e-05	1.6162598995715037e-05	linear	mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild	12.0	hr		7.0499760609358e-05	46.59582	3.090572361262242e-05	1.0926823371981263e-05	linear	mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild	16.0	hr		3.712742110990207e-05	26.82336	2.124768226332971e-05	7.512190106448793e-06	linear	mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild	24.0	hr		2.253183895538629e-05	13.90434	7.727878128400434e-06	2.7322175143875736e-06	linear	mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild	30.0	hr		1.3035669205658325e-05	8.94715	6.43582154515778e-06	2.275406528543765e-06	linear	mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild	36.0	hr		1.0622045701849836e-05	7.83876	6.437279651795431e-06	2.275922047089358e-06	linear	mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild	48.0	hr		5.1495321001088145e-06	5.0309	5.799107725788901e-06	2.0502941988683155e-06	linear	mole/meter^3	ng/ml
