study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	0.0	hr							mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	1.0	hr		0.0001515328618063112	105.12771	7.725431991294886e-05	2.7313526743200433e-05		mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	2.0	hr		0.00021949889009793255	144.14051	9.41910119695321e-05	3.330155164523961e-05		mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	2.5	hr		0.00023185092491838954	140.21817	7.330287268770404e-05	2.5916479178964744e-05		mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	3.0	hr		0.00023827788900979328	140.20092	6.683836779107727e-05	2.3630931554255717e-05		mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	3.5	hr		0.0002482615451577802	140.17937	5.680781284004353e-05	2.0084594841785505e-05		mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	4.0	hr		0.00023175112078346028	138.25043	6.912032644178455e-05	2.4437725772406746e-05		mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	6.0	hr		0.00016888028291621327	102.13182	5.338700761697498e-05	1.8875157556610446e-05		mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	8.0	hr		0.00011974237214363438	73.41432	4.002763873775843e-05	1.4151907393177171e-05		mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	12.0	hr		6.905797606093581e-05	41.1938	2.0591207834602833e-05	7.280091346334603e-06		mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	16.0	hr		3.6175734494015235e-05	25.44282	1.919492927094668e-05	6.786432325941285e-06		mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	24.0	hr		2.0553471164309033e-05	14.25921	1.0478541893362351e-05	3.7047240148719263e-06		mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	30.0	hr		1.0909009793253536e-05	8.94715	8.562480957562568e-06	3.0272941744365833e-06		mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	36.0	hr		8.742546245919478e-06	7.83876	8.316779107725788e-06	2.940425452351752e-06		mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	48.0	hr		5.462110990206746e-06	5.0309	5.486528835690968e-06	1.939780872446309e-06		mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	60.0	hr		3.186115342763874e-06					mole/meter^3	ng/ml
Frost2021a	mild	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_mild_log	72.0	hr		3.2192600652883572e-06					mole/meter^3	ng/ml
