study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate	0.0	hr						linear	mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate	1.0	hr		0.00018674217627856365	121.31231	7.72672034820457e-05	2.731808177273776e-05	linear	mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate	2.0	hr		0.00022990863982589774	145.28931	8.628137105549511e-05	3.050507128170664e-05	linear	mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate	2.5	hr		0.0002363630903155604	145.29589	7.98412404787813e-05	2.8228141280446138e-05	linear	mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate	3.0	hr		0.0002383090315560392	144.70944	7.661902067464637e-05	2.7088914543457456e-05	linear	mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate	3.5	hr		0.0002293063112078346	142.0533	7.98412404787813e-05	2.8228141280446138e-05	linear	mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate	4.0	hr		0.0002215942110990207	143.83503	9.143088139281828e-05	3.2325698121362355e-05	linear	mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate	6.0	hr		0.000154681915125136	87.64637	3.606100108813928e-05	1.274948920289939e-05	linear	mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate	8.0	hr		0.00011353157780195866	66.96198	3.219634385201306e-05	1.1383126533586117e-05	linear	mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate	12.0	hr		5.955540805223069e-05	35.35388	1.7384483133841132e-05	6.14634295568111e-06	linear	mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate	16.0	hr		3.648211099020675e-05	22.68069	1.2877388465723612e-05	4.552844354043309e-06	linear	mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate	24.0	hr		2.4464896626768225e-05	15.08711	8.36885745375408e-06	2.9588379281665507e-06	linear	mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate	30.0	hr		1.5611142546245922e-05	11.31402	9.011316648531012e-06	3.1859815547977588e-06	linear	mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate	36.0	hr		1.3196104461371055e-05	9.31805	7.082568008705115e-06	2.504065933585136e-06	linear	mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate	48.0	hr		9.011316648531012e-06	5.91584	3.863199129488575e-06	1.3658471507676694e-06	linear	mole/meter^3	ng/ml
