study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Frost2021a	moderate	8.0	API5	INR (change)		plasma	coagulation assay	inr_moderate	0.0	hr							percent	percent
Frost2021a	moderate	8.0	API5	INR (change)		plasma	coagulation assay	inr_moderate	3.0	hr		12.76803	14.87329	2.10526	0.744321811080396		percent	percent
Frost2021a	moderate	8.0	API5	INR (change)		plasma	coagulation assay	inr_moderate	3.5	hr		15.57505	20.25341	4.67836	1.65405004041595		percent	percent
Frost2021a	moderate	8.0	API5	INR (change)		plasma	coagulation assay	inr_moderate	6.0	hr		13.54776	16.04288	2.49512	0.882158135937089		percent	percent
Frost2021a	moderate	8.0	API5	INR (change)		plasma	coagulation assay	inr_moderate	12.0	hr		8.24561	11.52047	3.27486	1.15783785671829		percent	percent
Frost2021a	moderate	8.0	API5	INR (change)		plasma	coagulation assay	inr_moderate	24.0	hr		2.39766	3.48928	1.09162	0.385945952239429		percent	percent
Frost2021a	moderate	8.0	API5	INR (change)		plasma	coagulation assay	inr_moderate	48.0	hr		-0.64327	2.16374	2.80701	0.992427902929225		percent	percent
Frost2021a	moderate	8.0	API5	INR (change)		plasma	coagulation assay	inr_moderate	72.0	hr		0.91618	2.8655	1.94932	0.68918869535128		percent	percent
Frost2021a	moderate	8.0	API5	INR (change)		plasma	coagulation assay	inr_moderate	96.0	hr		0.83821	4.73684	3.89863	1.37837385516865		percent	percent
