study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate_log	0.0	hr							mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate_log	1.0	hr		0.00018877020674646356	123.9654	8.10130359085963e-05	2.864243352773885e-05		mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate_log	2.0	hr		0.00022873090315560395	152.27058	0.00010265229597388466	3.629306729375126e-05		mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate_log	2.5	hr		0.000235064134929271	146.10668	8.29047007616975e-05	2.9311238050418934e-05		mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate_log	3.0	hr		0.0002449131229597389	146.08421	7.300681175190426e-05	2.5811805831290534e-05		mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate_log	3.5	hr		0.0002382412404787813	148.08601	8.403516866158869e-05	2.9710918809382373e-05		mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate_log	4.0	hr		0.0002285902285092492	148.05868	9.362670293797607e-05	3.310203827379065e-05		mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate_log	6.0	hr		0.00016658204570184986	106.4307	6.504080522306856e-05	2.2995397213532536e-05		mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate_log	8.0	hr		0.00012140187159956475	76.50443	4.5093079434167574e-05	1.5942811126241763e-05		mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate_log	12.0	hr		6.1029031556039175e-05	42.3396	3.1113732317736676e-05	1.1000365554947313e-05		mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate_log	16.0	hr		3.769379760609358e-05	26.88037	2.080537540805223e-05	7.355811018082786e-06		mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate_log	24.0	hr		2.3578346028291622e-05	16.35825	1.2021762785636562e-05	4.250334993769837e-06		mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate_log	30.0	hr		1.3967769314472255e-05	10.52258	8.932295973884658e-06	3.1580435273495757e-06		mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate_log	36.0	hr		1.1505549510337325e-05	8.31809	6.596931447225245e-06	2.3323674806778674e-06		mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate_log	48.0	hr		7.490924918389554e-06	4.52993	2.3674646354733406e-06	8.370251489812688e-07		mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate_log	60.0	hr		3.9150598476605e-06	3.29179	3.248792165397171e-06	1.1486214854090335e-06		mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate_log	72.0	hr		4.927573449401523e-06	3.28047	2.211643090315561e-06	7.819339133632536e-07		mole/meter^3	ng/ml
Frost2021a	moderate	8.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_moderate_log	96.0	hr		4.0938628944504896e-06	2.2799	8.678346028291622e-07	3.068258663044179e-07		mole/meter^3	ng/ml
