study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	0.0	hr						log scale	mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	1.0	hr		0.00017146848748639829	89.15806	2.2564287268770406e-05	5.6410718171926015e-06		mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	2.0	hr		0.000213539042437432	134.57113	7.932522306855278e-05	1.9831305767138196e-05		mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	2.5	hr		0.00021945164309031557	134.55044	7.336759521218717e-05	1.8341898803046793e-05		mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	3.0	hr		0.0002286535146898803	134.52975	6.412069640914039e-05	1.6030174102285097e-05		mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	3.5	hr		0.000231786768226333	129.08797	4.914461371055495e-05	1.2286153427638738e-05		mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	4.0	hr		0.00022548633297062024	125.57524	4.7800369967355826e-05	1.1950092491838957e-05		mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	6.0	hr		0.00015768300326441786	87.81499	3.342687704026116e-05	8.35671926006529e-06		mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	8.0	hr		0.00011491288356909685	66.68758	3.0217867247007615e-05	7.554466811751904e-06		mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	12.0	hr		5.937377584330795e-05	34.45755	1.561545157780196e-05	3.90386289445049e-06		mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	16.0	hr		3.568013057671382e-05	22.48543	1.3254428726877042e-05	3.3136071817192606e-06		mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	24.0	hr		1.8928378672470075e-05	13.49746	1.0445854189336235e-05	2.6114635473340587e-06		mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	30.0	hr		9.908835690968446e-06	7.46503	6.337149075081611e-06	1.5842872687704027e-06		mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	36.0	hr		6.827616974972797e-06	4.01707	1.914646354733406e-06	4.786615886833515e-07		mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	48.0	hr		3.928443960826986e-06	2.50984	1.5336670293797606e-06	3.8341675734494016e-07		mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	60.0	hr		3.8616539717083785e-06	2.79175	2.2139717083786726e-06	5.534929270946682e-07		mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy_log	72.0	hr		3.1752557127312298e-06	1.86818	8.90424374319913e-07	2.2260609357997825e-07		mole/meter^3	ng/ml
