study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean_real	median	mean	mean_sd	mean_se	min	max	cv	comments	mean_unit	median_unit
Vakkalagadda2016		all	20.0	API10PO	cumulative amount	apixaban	urine	calculated	API10PO_cumulative amount_all_apixaban	0.0	hr			0.0							mole	mg
Vakkalagadda2016		all	20.0	API10PO	cumulative amount	apixaban	urine	calculated	API10PO_cumulative amount_all_apixaban	48.0	hr			3.1388900979325355e-06							mole	mg
