study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_se	mean_sd	comments	mean_unit	value_unit
Wang2016		esrd	8.0	DIALYSIS_PRE	Anti-factor Xa activity		plasma	coagulation assay	xa_esrd_P2	0.0	hr		0.0				period 2	IU/ml	IU/ml
Wang2016		esrd	8.0	DIALYSIS_PRE	Anti-factor Xa activity		plasma	coagulation assay	xa_esrd_P2	0.5	hr		0.370093457943925	0.479439252336448	0.109345794392523	0.309276610836732	period 2	IU/ml	IU/ml
Wang2016		esrd	8.0	DIALYSIS_PRE	Anti-factor Xa activity		plasma	coagulation assay	xa_esrd_P2	1.5	hr		1.07242990654205	1.2322429906542	0.15981308411215	0.45201966199215	period 2	IU/ml	IU/ml
Wang2016		esrd	8.0	DIALYSIS_PRE	Anti-factor Xa activity		plasma	coagulation assay	xa_esrd_P2	2.0	hr		1.28271028037383	1.48878504672897	0.20607476635514	0.582867458884612	period 2	IU/ml	IU/ml
Wang2016		esrd	8.0	DIALYSIS_PRE	Anti-factor Xa activity		plasma	coagulation assay	xa_esrd_P2	2.5	hr		1.18177570093457	1.34579439252336	0.16401869158879	0.463914916255114	period 2	IU/ml	IU/ml
Wang2016		esrd	8.0	DIALYSIS_PRE	Anti-factor Xa activity		plasma	coagulation assay	xa_esrd_P2	3.0	hr		1.13130841121495	1.2911214953271	0.15981308411215	0.452019661992149	period 2	IU/ml	IU/ml
Wang2016		esrd	8.0	DIALYSIS_PRE	Anti-factor Xa activity		plasma	coagulation assay	xa_esrd_P2	4.0	hr		1.11869158878504	1.21962616822429	0.10093457943925	0.285486102310824	period 2	IU/ml	IU/ml
Wang2016		esrd	8.0	DIALYSIS_PRE	Anti-factor Xa activity		plasma	coagulation assay	xa_esrd_P2	6.0	hr		1.02616822429906	1.1018691588785	0.0757009345794399	0.214114576733125	period 2	IU/ml	IU/ml
Wang2016		esrd	8.0	DIALYSIS_PRE	Anti-factor Xa activity		plasma	coagulation assay	xa_esrd_P2	12.0	hr		0.508878504672897	0.550934579439252	0.042056074766355	0.118952542629512	period 2	IU/ml	IU/ml
Wang2016		esrd	8.0	DIALYSIS_PRE	Anti-factor Xa activity		plasma	coagulation assay	xa_esrd_P2	24.0	hr		0.281775700934579	0.315420560747663	0.033644859813084	0.0951620341036099	period 2	IU/ml	IU/ml
Wang2016		esrd	8.0	DIALYSIS_PRE	Anti-factor Xa activity		plasma	coagulation assay	xa_esrd_P2	48.0	hr		0.0588785046728972	0.075700934579439	0.0168224299065418	0.0475810170518043	period 2	IU/ml	IU/ml
Wang2016		esrd	8.0	DIALYSIS_PRE	Anti-factor Xa activity		plasma	coagulation assay	xa_esrd_P2	72.0	hr		0.0504672897196263	0.075700934579439	0.0252336448598127	0.0713715255777065	period 2	IU/ml	IU/ml
