study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_se	mean_sd	comments	mean_unit	value_unit
Wang2016		esrd	8.0	DIALYSIS_PRE	prothrombin time		plasma	coagulation assay	pt_esrd_P2	0.0	hr		6.09261104410299	7.40241667600421	1.30980563190122	3.70468977741473	period 2	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_PRE	prothrombin time		plasma	coagulation assay	pt_esrd_P2	0.5	hr		7.61610092670977	9.19515218986413	1.57905126315436	4.46623142407053	period 2	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_PRE	prothrombin time		plasma	coagulation assay	pt_esrd_P2	1.5	hr		10.0674992321119	11.7691326207886	1.7016333886767	4.81294603290696	period 2	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_PRE	prothrombin time		plasma	coagulation assay	pt_esrd_P2	2.0	hr		9.20716495733539	10.5274686348997	1.32030367756431	3.73438273452504	period 2	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_PRE	prothrombin time		plasma	coagulation assay	pt_esrd_P2	2.5	hr		10.0685480548084	11.3087135519643	1.2401654971559	3.50771773133009	period 2	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_PRE	prothrombin time		plasma	coagulation assay	pt_esrd_P2	3.0	hr		10.6648786736887	13.3314055830059	2.6665269093172	7.54207703917839	period 2	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_PRE	prothrombin time		plasma	coagulation assay	pt_esrd_P2	4.0	hr		10.533326341182	11.7676145174057	1.2342881762237	3.49109415738462	period 2	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_PRE	prothrombin time		plasma	coagulation assay	pt_esrd_P2	6.0	hr		10.4028228313717	11.674359595317	1.2715367639453	3.59644907325488	period 2	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_PRE	prothrombin time		plasma	coagulation assay	pt_esrd_P2	12.0	hr		7.42821183221833	9.64754699795056	2.21933516573223	6.27722778166012	period 2	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_PRE	prothrombin time		plasma	coagulation assay	pt_esrd_P2	24.0	hr		7.30669823123544	8.58248903893212	1.27579080769668	3.60848132599114	period 2	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_PRE	prothrombin time		plasma	coagulation assay	pt_esrd_P2	48.0	hr		5.60700613561278	6.91192470207221	1.30491856645943	3.69086706895877	period 2	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_PRE	prothrombin time		plasma	coagulation assay	pt_esrd_P2	72.0	hr		6.15898653761153	7.58632405723973	1.4273375196282	4.03712015668435	period 2	seconds	seconds
