study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_se	mean_sd	comments	mean_unit	value_unit
Wang2016		esrd	8.0	DIALYSIS_PRE	inr		plasma	coagulation assay	inr_esrd_P2	0.0	hr		0.486564198556571	0.618060997910135	0.131496799353564	0.371929114108928	period 2	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_PRE	inr		plasma	coagulation assay	inr_esrd_P2	0.5	hr		0.627662636009649	0.798583899338209	0.17092126332856	0.483438337394385	period 2	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_PRE	inr		plasma	coagulation assay	inr_esrd_P2	1.5	hr		0.875299046055595	1.06242924939045	0.187130203334855	0.529284142971573	period 2	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_PRE	inr		plasma	coagulation assay	inr_esrd_P2	2.0	hr		0.800468714026886	1.05198537095088	0.251516656923994	0.711396534769306	period 2	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_PRE	inr		plasma	coagulation assay	inr_esrd_P2	2.5	hr		0.886860491886968	1.02071360153256	0.133853109645592	0.378593766053218	period 2	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_PRE	inr		plasma	coagulation assay	inr_esrd_P2	3.0	hr		0.944457512937808	1.22554750087077	0.281089987932962	0.795042546364169	period 2	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_PRE	inr		plasma	coagulation assay	inr_esrd_P2	4.0	hr		0.938744356913344	1.06577629745733	0.127031940543986	0.359300586343755	period 2	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_PRE	inr		plasma	coagulation assay	inr_esrd_P2	6.0	hr		0.921548583097266	1.04832266631835	0.126774083221084	0.358571255697345	period 2	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_PRE	inr		plasma	coagulation assay	inr_esrd_P2	12.0	hr		0.619479534739391	0.732056556948798	0.112577022209407	0.318415903240241	period 2	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_PRE	inr		plasma	coagulation assay	inr_esrd_P2	24.0	hr		0.614201809791693	0.745363113897596	0.131161304105903	0.37098019025022	period 2	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_PRE	inr		plasma	coagulation assay	inr_esrd_P2	48.0	hr		0.428017487312439	0.567126001393242	0.139108514080803	0.393458294509281	period 2	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_PRE	inr		plasma	coagulation assay	inr_esrd_P2	72.0	hr		0.48656419855657	0.642361111111111	0.155796912554541	0.440660213420974	period 2	dimensionless	dimensionless
