study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	sd	se	min	max	cv	unit	comments
Tirona2018	NA	control	12.0	API2.5, ROS5	auc_end	apixaban	plasma	LC MS/MS	auc_end_control_apixaban	12.0	hr	671.0	174.0	NA	NA	NA	NA	ng*hr/ml	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	auc_inf	apixaban	plasma	LC MS/MS	auc_inf_control_apixaban	NA	NA	840.0	326.0	NA	NA	NA	NA	ng*hr/ml	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	cmax	apixaban	plasma	LC MS/MS	cmax_control_apixaban	NA	NA	98.0	31.0	NA	NA	NA	NA	ng/ml	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	tmax	apixaban	plasma	LC MS/MS	tmax_control_apixaban	NA	NA	2.6	1.1	NA	NA	NA	NA	hr	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	thalf	apixaban	plasma	LC MS/MS	thalf_control_apixaban	NA	NA	4.5	1.5	NA	NA	NA	NA	hr	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	cumulative amount	apixaban	plasma	LC MS/MS	cumulative amount_control_apixaban	0.0	hr	0.0	NA	NA	NA	NA	NA	ug	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	cumulative amount	apixaban	plasma	LC MS/MS	cumulative amount_control_apixaban	12.0	hr	611.0	148.0	NA	NA	NA	NA	ug	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	clearance_renal	apixaban	plasma	LC MS/MS	clearance_renal_control_apixaban	NA	NA	16.2	5.4	NA	NA	NA	NA	ml/min	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	auc_end	apixaban	plasma	LC MS/MS	auc_end_nafld_apixaban	12.0	hr	545.0	265.0	NA	NA	NA	NA	ng*hr/ml	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	auc_inf	apixaban	plasma	LC MS/MS	auc_inf_nafld_apixaban	NA	NA	715.0	351.0	NA	NA	NA	NA	ng*hr/ml	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	cmax	apixaban	plasma	LC MS/MS	cmax_nafld_apixaban	NA	NA	78.0	44.0	NA	NA	NA	NA	ng/ml	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	tmax	apixaban	plasma	LC MS/MS	tmax_nafld_apixaban	NA	NA	2.7	1.3	NA	NA	NA	NA	hr	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	thalf	apixaban	plasma	LC MS/MS	thalf_nafld_apixaban	NA	NA	5.0	1.2	NA	NA	NA	NA	hr	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	cumulative amount	apixaban	plasma	LC MS/MS	cumulative amount_nafld_apixaban	12.0	hr	544.0	182.0	NA	NA	NA	NA	ug	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	clearance_renal	apixaban	plasma	LC MS/MS	clearance_renal_nafld_apixaban	NA	NA	19.6	9.1	NA	NA	NA	NA	ml/min	NA
Tirona2018	NA	nafld_no_fibrosis	11.0	API2.5, ROS5	auc_end	apixaban	plasma	LC MS/MS	auc_end_nafld_no_fibrosis_apixaban	12.0	hr	580.0	228.0	NA	NA	NA	NA	ng*hr/ml	NA
