study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	sd	se	min	max	cv	unit	comments
Tirona2018	NA	control	12.0	API2.5, ROS5	auc_end	rosuvastatin	plasma	LC MS/MS	auc_end_control_rosuvastatin	12.0	hr	25.4	11.0	NA	NA	NA	NA	ng*hr/ml	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	auc_inf	rosuvastatin	plasma	LC MS/MS	auc_inf_control_rosuvastatin	NA	NA	30.7	13.6	NA	NA	NA	NA	ng*hr/ml	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	cmax	rosuvastatin	plasma	LC MS/MS	cmax_control_rosuvastatin	NA	NA	3.7	2.0	NA	NA	NA	NA	ng/ml	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	tmax	rosuvastatin	plasma	LC MS/MS	tmax_control_rosuvastatin	NA	NA	3.9	2.0	NA	NA	NA	NA	hr	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	thalf	rosuvastatin	plasma	LC MS/MS	thalf_control_rosuvastatin	NA	NA	4.4	1.2	NA	NA	NA	NA	hr	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	cumulative amount	rosuvastatin	plasma	LC MS/MS	cumulative amount_control_rosuvastatin	12.0	hr	257.0	107.0	NA	NA	NA	NA	ug	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	clearance_renal	rosuvastatin	plasma	LC MS/MS	clearance_renal_control_rosuvastatin	NA	NA	180.0	64.0	NA	NA	NA	NA	ml/min	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	auc_end	rosuvastatin	plasma	LC MS/MS	auc_end_nafld_rosuvastatin	12.0	hr	20.1	14.3	NA	NA	NA	NA	ng*hr/ml	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	auc_inf	rosuvastatin	plasma	LC MS/MS	auc_inf_nafld_rosuvastatin	NA	NA	25.4	17.0	NA	NA	NA	NA	ng*hr/ml	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	cmax	rosuvastatin	plasma	LC MS/MS	cmax_nafld_rosuvastatin	NA	NA	3.0	2.6	NA	NA	NA	NA	ng/ml	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	tmax	rosuvastatin	plasma	LC MS/MS	tmax_nafld_rosuvastatin	NA	NA	3.8	1.9	NA	NA	NA	NA	hr	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	thalf	rosuvastatin	plasma	LC MS/MS	thalf_nafld_rosuvastatin	NA	NA	5.4	2.9	NA	NA	NA	NA	hr	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	cumulative amount	rosuvastatin	plasma	LC MS/MS	cumulative amount_nafld_rosuvastatin	12.0	hr	209.0	186.0	NA	NA	NA	NA	ug	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	clearance_renal	rosuvastatin	plasma	LC MS/MS	clearance_renal_nafld_rosuvastatin	NA	NA	178.0	69.0	NA	NA	NA	NA	ml/min	NA
Tirona2018	NA	nafld_no_fibrosis	11.0	API2.5, ROS5	auc_end	rosuvastatin	plasma	LC MS/MS	auc_end_nafld_no_fibrosis_rosuvastatin	12.0	hr	21.5	13.5	NA	NA	NA	NA	ng*hr/ml	NA
Tirona2018	NA	nafld_no_fibrosis	11.0	API2.5, ROS5	auc_inf	rosuvastatin	plasma	LC MS/MS	auc_inf_nafld_no_fibrosis_rosuvastatin	NA	NA	27.0	15.4	NA	NA	NA	NA	ng*hr/ml	NA
Tirona2018	NA	nafld_no_fibrosis	11.0	API2.5, ROS5	cmax	rosuvastatin	plasma	LC MS/MS	cmax_nafld_no_fibrosis_rosuvastatin	NA	NA	3.3	2.6	NA	NA	NA	NA	ng/ml	NA
Tirona2018	NA	nafld_no_fibrosis	11.0	API2.5, ROS5	tmax	rosuvastatin	plasma	LC MS/MS	tmax_nafld_no_fibrosis_rosuvastatin	NA	NA	3.7	2.1	NA	NA	NA	NA	hr	NA
Tirona2018	NA	nafld_no_fibrosis	11.0	API2.5, ROS5	thalf	rosuvastatin	plasma	LC MS/MS	thalf_nafld_no_fibrosis_rosuvastatin	NA	NA	4.8	1.4	NA	NA	NA	NA	hr	NA
Tirona2018	NA	nafld_no_fibrosis	11.0	API2.5, ROS5	cumulative amount	rosuvastatin	plasma	LC MS/MS	cumulative amount_nafld_no_fibrosis_rosuvastatin	12.0	hr	244.0	230.0	NA	NA	NA	NA	ug	NA
Tirona2018	NA	nafld_no_fibrosis	11.0	API2.5, ROS5	clearance_renal	rosuvastatin	plasma	LC MS/MS	clearance_renal_nafld_no_fibrosis_rosuvastatin	NA	NA	178.0	84.0	NA	NA	NA	NA	ml/min	NA
Tirona2018	NA	nafld_fibrosis	11.0	API2.5, ROS5	auc_end	rosuvastatin	plasma	LC MS/MS	auc_end_nafld_fibrosis_rosuvastatin	12.0	hr	18.6	15.7	NA	NA	NA	NA	ng*hr/ml	NA
Tirona2018	NA	nafld_fibrosis	11.0	API2.5, ROS5	auc_inf	rosuvastatin	plasma	LC MS/MS	auc_inf_nafld_fibrosis_rosuvastatin	NA	NA	23.7	19.2	NA	NA	NA	NA	ng*hr/ml	NA
Tirona2018	NA	nafld_fibrosis	11.0	API2.5, ROS5	cmax	rosuvastatin	plasma	LC MS/MS	cmax_nafld_fibrosis_rosuvastatin	NA	NA	2.8	2.7	NA	NA	NA	NA	ng/ml	NA
