study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_pm	sd	se	unit	comments
Tirona2018	NA	control	12.0	API2.5, ROS5	concentration	apixaban	plasma	LC MS/MS	control_apixaban	0.0	hr	0.0	NA	NA	NA	ng/ml	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	concentration	apixaban	plasma	LC MS/MS	control_apixaban	0.5	hr	27.9298199432905	33.4468284783162	19.1114781769113	5.517008535025699	ng/ml	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	concentration	apixaban	plasma	LC MS/MS	control_apixaban	1.0	hr	63.7277146560381	69.2515901242056	19.135265931098868	5.523875468167503	ng/ml	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	concentration	apixaban	plasma	LC MS/MS	control_apixaban	2.0	hr	94.7831336677148	104.232033670862	32.73194976217735	9.448900003147202	ng/ml	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	concentration	apixaban	plasma	LC MS/MS	control_apixaban	4.0	hr	85.8286528507786	92.5199069530559	23.179184142995915	6.691254102277298	ng/ml	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	concentration	apixaban	plasma	LC MS/MS	control_apixaban	6.0	hr	59.7437489449243	63.8759259630158	14.314281082405888	4.132177018091504	ng/ml	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	concentration	apixaban	plasma	LC MS/MS	control_apixaban	8.0	hr	42.7174743419904	46.4585222932123	12.959370250135551	3.741047951221894	ng/ml	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	concentration	apixaban	plasma	LC MS/MS	control_apixaban	10.0	hr	32.1847433912921	35.7272225258296	12.271507691543153	3.5424791345375013	ng/ml	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	concentration	apixaban	plasma	LC MS/MS	control_apixaban	12.0	hr	22.4419958741176	25.7876229252562	11.589592071497785	3.3456270511385995	ng/ml	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	concentration	apixaban	plasma	LC MS/MS	nafld_apixaban	0.0	hr	0.0	NA	NA	NA	ng/ml	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	concentration	apixaban	plasma	LC MS/MS	nafld_apixaban	0.5	hr	16.5123991061542	11.5868051879679	23.10308334035145	4.925593918186298	ng/ml	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	concentration	apixaban	plasma	LC MS/MS	nafld_apixaban	1.0	hr	53.8885439526639	44.0407895828624	46.190062294987	9.8477543698015	ng/ml	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	concentration	apixaban	plasma	LC MS/MS	nafld_apixaban	2.0	hr	65.6481669580344	57.5806650052503	37.8399383017448	8.067501952784092	ng/ml	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	concentration	apixaban	plasma	LC MS/MS	nafld_apixaban	4.0	hr	70.6684673291349	62.0069756595832	40.62599703044465	8.661491669551701	ng/ml	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	concentration	apixaban	plasma	LC MS/MS	nafld_apixaban	6.0	hr	50.097996858378	45.3718301235189	22.16768693673639	4.726166734859106	ng/ml	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	concentration	apixaban	plasma	LC MS/MS	nafld_apixaban	8.0	hr	36.6150597566244	32.8765869053307	17.534991979380006	3.7384728512937	ng/ml	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	concentration	apixaban	plasma	LC MS/MS	nafld_apixaban	10.0	hr	27.6580038397601	25.2957788389732	11.07981737193979	2.3622250007869	ng/ml	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	concentration	apixaban	plasma	LC MS/MS	nafld_apixaban	12.0	hr	21.4577354571231	18.8960832730092	12.015213775553946	2.5616521841138997	ng/ml	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	concentration	rosuvastatin	plasma	LC MS/MS	control_rosuvastatin	0.0	hr	0.0	NA	NA	NA	ng/ml	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	concentration	rosuvastatin	plasma	LC MS/MS	control_rosuvastatin	0.5	hr	1.33553719008264	1.07107438016528	0.9161260469785959	0.26446280991736004	ng/ml	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	concentration	rosuvastatin	plasma	LC MS/MS	control_rosuvastatin	1.0	hr	2.36694214876033	2.88264462809917	1.7864457916082195	0.5157024793388398	ng/ml	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	concentration	rosuvastatin	plasma	LC MS/MS	control_rosuvastatin	2.0	hr	3.17355371900826	3.75537190082644	2.0154773033528683	0.5818181818181798	ng/ml	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	concentration	rosuvastatin	plasma	LC MS/MS	control_rosuvastatin	4.0	hr	3.2	3.66280991735537	1.6032205822125076	0.4628099173553699	ng/ml	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	concentration	rosuvastatin	plasma	LC MS/MS	control_rosuvastatin	6.0	hr	2.44628099173553	2.73057851239669	0.9848355005019834	0.28429752066116	ng/ml	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	concentration	rosuvastatin	plasma	LC MS/MS	control_rosuvastatin	8.0	hr	1.54710743801653	1.75206611570247	0.7099976864083631	0.20495867768594	ng/ml	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	concentration	rosuvastatin	plasma	LC MS/MS	control_rosuvastatin	10.0	hr	1.36859504132231	1.54710743801653	0.6183850817105587	0.17851239669421992	ng/ml	NA
Tirona2018	NA	control	12.0	API2.5, ROS5	concentration	rosuvastatin	plasma	LC MS/MS	control_rosuvastatin	12.0	hr	0.912396694214875	1.03140495867768	0.4122567211403434	0.11900826446280488	ng/ml	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	concentration	rosuvastatin	plasma	LC MS/MS	nafld_rosuvastatin	0.0	hr	0.0	NA	NA	NA	ng/ml	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	concentration	rosuvastatin	plasma	LC MS/MS	nafld_rosuvastatin	0.5	hr	1.77190082644628	2.33388429752066	2.6359361294875456	0.5619834710743798	ng/ml	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	concentration	rosuvastatin	plasma	LC MS/MS	nafld_rosuvastatin	1.0	hr	1.93057851239669	1.48760330578512	2.077737890301949	0.4429752066115702	ng/ml	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	concentration	rosuvastatin	plasma	LC MS/MS	nafld_rosuvastatin	2.0	hr	2.40661157024793	1.92396694214876	2.2638039700304655	0.4826446280991701	ng/ml	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	concentration	rosuvastatin	plasma	LC MS/MS	nafld_rosuvastatin	4.0	hr	2.52561983471074	2.06280991735537	2.170770930166206	0.4628099173553699	ng/ml	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	concentration	rosuvastatin	plasma	LC MS/MS	nafld_rosuvastatin	6.0	hr	1.91735537190082	1.65289256198347	1.2404405315235267	0.26446280991735005	ng/ml	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	concentration	rosuvastatin	plasma	LC MS/MS	nafld_rosuvastatin	8.0	hr	1.21652892561983	1.04462809917355	0.806286345490304	0.17190082644628002	ng/ml	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	concentration	rosuvastatin	plasma	LC MS/MS	nafld_rosuvastatin	10.0	hr	0.958677685950412	0.859504132231405	0.46516519932132616	0.09917355371900705	ng/ml	NA
Tirona2018	NA	nafld	22.0	API2.5, ROS5	concentration	rosuvastatin	plasma	LC MS/MS	nafld_rosuvastatin	12.0	hr	0.773553719008264	0.634710743801653	0.6512312790498617	0.13884297520661093	ng/ml	NA
