study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	min	max	sd	se	cv	unit	comments
Frost2018	japanese	12.0	API2.5	cmax	apixaban	plasma	LC MS/MS	cmax_japanese_API2.5	NA	NA	52.5	NA	NA	16.0	NA	NA	ng/ml	NA
Frost2018	japanese	12.0	API2.5	auc_inf	apixaban	plasma	LC MS/MS	auc_inf_japanese_API2.5	NA	NA	465.7	NA	NA	17.0	NA	NA	ng/ml*hr	NA
Frost2018	japanese	10.0	API2.5	auc_end	apixaban	plasma	LC MS/MS	auc_end_japanese_API2.5	36.0	hr	429.8	NA	NA	16.0	NA	NA	ng/ml*hr	NA
Frost2018	japanese	12.0	API2.5	tmax	apixaban	plasma	LC MS/MS	tmax_japanese_API2.5	NA	NA	3.5	1.5	6.0	NA	NA	NA	hr	NA
Frost2018	japanese	10.0	API2.5	thalf	apixaban	plasma	LC MS/MS	thalf_japanese_API2.5	NA	NA	6.12	NA	NA	1.21	NA	NA	hr	NA
Frost2018	japanese	12.0	API2.5	clearance_renal	apixaban	urine	LC MS/MS	clearance_renal_japanese_API2.5	NA	NA	1.11	NA	NA	0.31	NA	NA	L/hr	NA
Frost2018	japanese	12.0	API2.5	cumulative amount	apixaban	urine	calculated	cumulative amount_japanese_API2.5	72.0	hr	0.516927	NA	NA	0.14559501223943078	NA	NA	mg	time assumed
Frost2018	caucasian	12.0	API2.5	cmax	apixaban	plasma	LC MS/MS	cmax_caucasian_API2.5	NA	NA	44.8	NA	NA	20.0	NA	NA	ng/ml	NA
Frost2018	caucasian	12.0	API2.5	auc_inf	apixaban	plasma	LC MS/MS	auc_inf_caucasian_API2.5	NA	NA	446.5	NA	NA	15.0	NA	NA	ng/ml*hr	NA
Frost2018	caucasian	12.0	API2.5	auc_end	apixaban	plasma	LC MS/MS	auc_end_caucasian_API2.5	48.0	hr	421.96	NA	NA	18.0	NA	NA	ng/ml*hr	NA
