study	name	time	time_end	time_unit	route	application	measurement_type	form	substance	value	unit	comments
Abdollahizad2025	TEST5	0	NA	hr	oral	single dose	dosing	tablet	apixaban	5	mg	The test product (apixaban 5 mg tablet) and reference product (Eliquis®)
Abdollahizad2025	REF5	0	NA	hr	oral	single dose	dosing	tablet	apixaban	5	mg	The test product (apixaban 5 mg tablet) and reference product (Eliquis®)
