study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Upreti2013	all	55.0	NA	species	55.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Upreti2013	all	55.0	NA	healthy	55.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Upreti2013	all	55.0	NA	sex	55.0	NA	M	26.0	NA	NA	NA	NA	NA	NA	NA
Upreti2013	all	55.0	NA	sex	55.0	NA	F	29.0	NA	NA	NA	NA	NA	NA	NA
Upreti2013	all	55.0	NA	overnight fast	55.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Upreti2013	low	18.0	all	age	18.0	NA	NA	23.0	NA	4.0	NA	18.0	31.0	yr	NA
Upreti2013	low	18.0	all	sex	2.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Upreti2013	low	18.0	all	sex	16.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Upreti2013	low	18.0	all	ethnicity	11.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
Upreti2013	low	18.0	all	ethnicity	1.0	NA	black	NA	NA	NA	NA	NA	NA	NA	NA
Upreti2013	low	18.0	all	ethnicity	4.0	NA	asian	NA	NA	NA	NA	NA	NA	NA	NA
Upreti2013	low	18.0	all	weight	18.0	NA	NA	47.0	NA	3.6	NA	38.0	50.0	kg	NA
Upreti2013	low	18.0	all	bmi	18.0	NA	NA	18.8	NA	2.0	NA	17.0	22.0	kg/m^2	NA
Upreti2013	reference	18.0	all	age	18.0	NA	NA	28.0	NA	7.0	NA	18.0	43.0	yr	NA
Upreti2013	reference	18.0	all	sex	8.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Upreti2013	reference	18.0	all	sex	10.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Upreti2013	reference	18.0	all	ethnicity	15.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
Upreti2013	reference	18.0	all	ethnicity	2.0	NA	asian	NA	NA	NA	NA	NA	NA	NA	NA
Upreti2013	reference	18.0	all	weight	18.0	NA	NA	75.0	NA	5.5	NA	67.0	84.0	kg	NA
Upreti2013	reference	18.0	all	bmi	18.0	NA	NA	26.3	NA	2.0	NA	22.0	30.0	kg/m^2	NA
Upreti2013	high	19.0	all	age	19.0	NA	NA	29.0	NA	8.0	NA	19.0	41.0	yr	NA
Upreti2013	high	19.0	all	sex	16.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Upreti2013	high	19.0	all	sex	3.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Upreti2013	high	19.0	all	ethnicity	17.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
Upreti2013	high	19.0	all	weight	18.0	NA	NA	137.0	NA	18.3	NA	120.0	175.0	kg	NA
Upreti2013	high	19.0	all	bmi	18.0	NA	NA	42.6	NA	6.0	NA	32.0	54.0	kg/m^2	NA
