study	individual	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_sd	x_unit	y_measurement_type	y_tissue	y_method	y_label	y	y_mean_pm	y_sd	y_se	y_unit	comments
Frost2021	NA	group1	6.0	IV0_5	0.05	hr	concentration	apixaban	plasma	LC/MS	IV0_5_apixaban_plasma_vs_PT_mean	45.8802601993415	26.453365085100394	ng/ml	prothrombin time	plasma	coagulation assay	IV0_5_PT_vs_apixaban_mean	74.4	NA	9.4	NA	sec	data from Fig1 and 2
Frost2021	NA	group1	6.0	IV0_5	0.16666666666666666	hr	concentration	apixaban	plasma	LC/MS	IV0_5_apixaban_plasma_vs_PT_mean	37.1780559944828	15.558942126797902	ng/ml	prothrombin time	plasma	coagulation assay	IV0_5_PT_vs_apixaban_mean	67.9370026525198	NA	6.982758620689594	NA	sec	NA
Frost2021	NA	group1	6.0	IV0_5	0.5	hr	concentration	apixaban	plasma	LC/MS	IV0_5_apixaban_plasma_vs_PT_mean	28.0885867283189	13.158624068880798	ng/ml	prothrombin time	plasma	coagulation assay	IV0_5_PT_vs_apixaban_mean	61.7420424403183	NA	6.209880636604801	NA	sec	NA
Frost2021	NA	group1	6.0	IV0_5	1.0	hr	concentration	apixaban	plasma	LC/MS	IV0_5_apixaban_plasma_vs_PT_mean	23.5580993680019	5.496855388433399	ng/ml	prothrombin time	plasma	coagulation assay	IV0_5_PT_vs_apixaban_mean	61.7599469496021	NA	4.655172413793103	NA	sec	NA
Frost2021	NA	group1	6.0	IV0_5	2.0	hr	concentration	apixaban	plasma	LC/MS	IV0_5_apixaban_plasma_vs_PT_mean	18.4218404452033	3.5165203109072998	ng/ml	prothrombin time	plasma	coagulation assay	IV0_5_PT_vs_apixaban_mean	60.2380636604774	NA	3.8793103448276014	NA	sec	NA
Frost2021	NA	group1	6.0	IV0_5	3.0	hr	concentration	apixaban	plasma	LC/MS	IV0_5_apixaban_plasma_vs_PT_mean	14.9188236577334	2.8442993905096987	ng/ml	prothrombin time	plasma	coagulation assay	IV0_5_PT_vs_apixaban_mean	58.7191644562334	NA	5.434018567639299	NA	sec	NA
Frost2021	NA	group1	6.0	IV0_5	4.0	hr	concentration	apixaban	plasma	LC/MS	IV0_5_apixaban_plasma_vs_PT_mean	13.4176395777949	2.0113854011108003	ng/ml	prothrombin time	plasma	coagulation assay	IV0_5_PT_vs_apixaban_mean	56.4214190981432	NA	4.652188328912494	NA	sec	NA
Frost2021	NA	group1	6.0	IV0_5	6.0	hr	concentration	apixaban	plasma	LC/MS	IV0_5_apixaban_plasma_vs_PT_mean	8.19978405626089	1.5691324957879793	ng/ml	prothrombin time	plasma	coagulation assay	IV0_5_PT_vs_apixaban_mean	59.5875331564986	NA	6.979774535809	NA	sec	NA
Frost2021	NA	group1	6.0	IV0_5	8.0	hr	concentration	apixaban	plasma	LC/MS	IV0_5_apixaban_plasma_vs_PT_mean	5.56726011627938	0.56772110056954	ng/ml	prothrombin time	plasma	coagulation assay	IV0_5_PT_vs_apixaban_mean	57.3255968169761	NA	3.1064323607427013	NA	sec	NA
Frost2021	NA	group1	6.0	IV0_5	12.0	hr	concentration	apixaban	plasma	LC/MS	IV0_5_apixaban_plasma_vs_PT_mean	2.47904116921473	0.68929847168347	ng/ml	prothrombin time	plasma	coagulation assay	IV0_5_PT_vs_apixaban_mean	56.6780503978779	NA	3.1004641909813984	NA	sec	NA
Frost2021	NA	group1	6.0	IV0_5	18.0	hr	concentration	apixaban	plasma	LC/MS	IV0_5_apixaban_plasma_vs_PT_mean	0.458848249321486	0.681658339579214	ng/ml	prothrombin time	plasma	coagulation assay	IV0_5_PT_vs_apixaban_mean	57.6478779840848	NA	3.1064323607427013	NA	sec	NA
Frost2021	NA	group2	6.0	IV1_25	0.05	hr	concentration	apixaban	plasma	LC/MS	IV1_25_apixaban_plasma_vs_PT_mean	104.509817203596	29.284227067272994	ng/ml	prothrombin time	plasma	coagulation assay	IV1_25_PT_vs_apixaban_mean	102.6	NA	13.9	NA	sec	NA
Frost2021	NA	group2	6.0	IV1_25	0.16666666666666666	hr	concentration	apixaban	plasma	LC/MS	IV1_25_apixaban_plasma_vs_PT_mean	76.0722135668093	17.939090421743003	ng/ml	prothrombin time	plasma	coagulation assay	IV1_25_PT_vs_apixaban_mean	102.838859416445	NA	1.557692307691994	NA	sec	NA
Frost2021	NA	group2	6.0	IV1_25	0.5	hr	concentration	apixaban	plasma	LC/MS	IV1_25_apixaban_plasma_vs_PT_mean	59.4218761938655	11.3387897502324	ng/ml	prothrombin time	plasma	coagulation assay	IV1_25_PT_vs_apixaban_mean	85.7818302387268	NA	2.3275862068964983	NA	sec	NA
Frost2021	NA	group2	6.0	IV1_25	1.0	hr	concentration	apixaban	plasma	LC/MS	IV1_25_apixaban_plasma_vs_PT_mean	49.8101681304323	9.504698606487302	ng/ml	prothrombin time	plasma	coagulation assay	IV1_25_PT_vs_apixaban_mean	78.8110079575597	NA	1.5517241379310036	NA	sec	NA
Frost2021	NA	group2	6.0	IV1_25	2.0	hr	concentration	apixaban	plasma	LC/MS	IV1_25_apixaban_plasma_vs_PT_mean	57.3615251044867	14.108615690683905	ng/ml	prothrombin time	plasma	coagulation assay	IV1_25_PT_vs_apixaban_mean	78.0500663129973	NA	2.3246021220159037	NA	sec	NA
Frost2021	NA	group2	6.0	IV1_25	3.0	hr	concentration	apixaban	plasma	LC/MS	IV1_25_apixaban_plasma_vs_PT_mean	32.6144426835035	6.293504187830301	ng/ml	prothrombin time	plasma	coagulation assay	IV1_25_PT_vs_apixaban_mean	74.9794429708222	NA	2.3335543766578013	NA	sec	NA
