study	individual	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_sd	x_unit	y_measurement_type	y_substance	y_tissue	y_method	y_label	y	y_sd	y_unit	comments
Frost2013a		API5x2	6.0	API5x2	0.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mPT_mean_API5x2	0.0		mole/meter^3	mPT		plasma	coagulation assay	mPT_mean_API5x2	51.79	3.369999999999997	sec	
Frost2013a		API5x2	6.0	API5x2	3.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mPT_mean_API5x2	0.00018879216539717083	2.3590859630032653e-05	mole/meter^3	mPT		plasma	coagulation assay	mPT_mean_API5x2	68.63	6.740000000000009	sec	
Frost2013a		API5x2	6.0	API5x2	6.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mPT_mean_API5x2	0.000141588683351469	2.3590859630032653e-05	mole/meter^3	mPT		plasma	coagulation assay	mPT_mean_API5x2	65.26	5.059999999999988	sec	
Frost2013a		API5x2	6.0	API5x2	12.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mPT_mean_API5x2	7.07943416757345e-05	0.0	mole/meter^3	mPT		plasma	coagulation assay	mPT_mean_API5x2	53.47	5.060000000000002	sec	
Frost2013a		API5x2	6.0	API5x2	18.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mPT_mean_API5x2	0.00012979325353645266	2.3590859630032653e-05	mole/meter^3	mPT		plasma	coagulation assay	mPT_mean_API5x2	58.53	6.730000000000004	sec	
Frost2013a		API5x2	6.0	API5x2	24.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mPT_mean_API5x2	8.258977149075082e-05	1.1795429815016311e-05	mole/meter^3	mPT		plasma	coagulation assay	mPT_mean_API5x2	43.37	6.740000000000002	sec	
Frost2013a		API5x2	6.0	API5x2	144.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mPT_mean_API5x2	0.00013381936887921656	1.2165397170837859e-05	mole/meter^3	mPT		plasma	coagulation assay	mPT_mean_API5x2	68.63	6.740000000000009	sec	
Frost2013a		API5x2	6.0	API5x2	147.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mPT_mean_API5x2	0.00024330794341675735	3.6496191512513595e-05	mole/meter^3	mPT		plasma	coagulation assay	mPT_mean_API5x2	75.37	13.47	sec	
Frost2013a		API5x2	6.0	API5x2	150.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mPT_mean_API5x2	0.00021897714907508163	3.6496191512513595e-05	mole/meter^3	mPT		plasma	coagulation assay	mPT_mean_API5x2	82.11	6.730000000000004	sec	
Frost2013a		API5x2	6.0	API5x2	156.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mPT_mean_API5x2	0.00010948857453754081	2.4330794341675735e-05	mole/meter^3	mPT		plasma	coagulation assay	mPT_mean_API5x2	61.89	6.739999999999995	sec	
Frost2013a		API5x2	6.0	API5x2	162.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mPT_mean_API5x2	0.0001459847660500544	3.6496191512513595e-05	mole/meter^3	mPT		plasma	coagulation assay	mPT_mean_API5x2	65.26	8.420000000000002	sec	
Frost2013a		API5x2	6.0	API5x2	168.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mPT_mean_API5x2	8.515778019586508e-05	1.2165397170837859e-05	mole/meter^3	mPT		plasma	coagulation assay	mPT_mean_API5x2	60.21	5.050000000000004	sec	
