study	individual	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_sd	x_unit	y_measurement_type	y_substance	y_tissue	y_method	y_label	y	y_sd	y_unit	comments
Frost2013a		API25x2	6.0	API25x2	0.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API25x2	0.0		mole/meter^3	inr		plasma	coagulation assay	inr_mean_API25x2	1.18	0.01	dimensionless	
Frost2013a		API25x2	6.0	API25x2	3.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API25x2	0.0008849401523394995	0.00016517954298150158	mole/meter^3	inr		plasma	coagulation assay	inr_mean_API25x2	1.51	0.09	dimensionless	
Frost2013a		API25x2	6.0	API25x2	6.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API25x2	0.0007079434167573449	0.00022417845484221983	mole/meter^3	inr		plasma	coagulation assay	inr_mean_API25x2	1.37	0.1199999999999998	dimensionless	
Frost2013a		API25x2	6.0	API25x2	9.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API25x2	0.0004365614798694233	0.00011799782372143635	mole/meter^3	inr		plasma	coagulation assay	inr_mean_API25x2	1.24	0.01	dimensionless	
Frost2013a		API25x2	6.0	API25x2	12.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API25x2	0.0003067682263329706	1.1817192600652837e-05	mole/meter^3	inr		plasma	coagulation assay	inr_mean_API25x2	1.22	0.05	dimensionless	
Frost2013a		API25x2	6.0	API25x2	15.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API25x2	0.0010383242655059848	0.0003893579978237214	mole/meter^3	inr		plasma	coagulation assay	inr_mean_API25x2	1.51	0.1499999999999999	dimensionless	
Frost2013a		API25x2	6.0	API25x2	18.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API25x2	0.0007905331882480959	0.00015338411316648533	mole/meter^3	inr		plasma	coagulation assay	inr_mean_API25x2	1.36	0.0899999999999998	dimensionless	
Frost2013a		API25x2	6.0	API25x2	21.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API25x2	0.0006489445048966268	0.0003067899891186073	mole/meter^3	inr		plasma	coagulation assay	inr_mean_API25x2	1.34	0.0899999999999998	dimensionless	
Frost2013a		API25x2	6.0	API25x2	24.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API25x2	0.0004955603917301415	0.00015338411316648528	mole/meter^3	inr		plasma	coagulation assay	inr_mean_API25x2	1.31	0.05	dimensionless	
Frost2013a		API25x2	6.0	API25x2	144.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API25x2	0.0007177584330794343	4.86615886833515e-05	mole/meter^3	inr		plasma	coagulation assay	inr_mean_API25x2	1.4	0.09	dimensionless	
Frost2013a		API25x2	6.0	API25x2	147.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API25x2	0.0013625462459194778	0.00041362350380848745	mole/meter^3	inr		plasma	coagulation assay	inr_mean_API25x2	1.8	0.3	dimensionless	
Frost2013a		API25x2	6.0	API25x2	150.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API25x2	0.0011314036996735582	0.000194646354733406	mole/meter^3	inr		plasma	coagulation assay	inr_mean_API25x2	1.76	0.3099999999999998	dimensionless	
Frost2013a		API25x2	6.0	API25x2	153.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API25x2	0.0008880739934711643	0.00015817192600652886	mole/meter^3	inr		plasma	coagulation assay	inr_mean_API25x2	1.52	0.2099999999999999	dimensionless	
Frost2013a		API25x2	6.0	API25x2	156.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API25x2	0.0006569314472252449	0.00021897714907508163	mole/meter^3	inr		plasma	coagulation assay	inr_mean_API25x2	1.4	0.1200000000000001	dimensionless	
Frost2013a		API25x2	6.0	API25x2	157.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API25x2	0.001058411316648531	0.00020681175190424383	mole/meter^3	inr		plasma	coagulation assay	inr_mean_API25x2	1.64	0.1900000000000001	dimensionless	
Frost2013a		API25x2	6.0	API25x2	162.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API25x2	0.0011192383025027204	0.00029196953210010903	mole/meter^3	inr		plasma	coagulation assay	inr_mean_API25x2	1.88	0.4599999999999999	dimensionless	
Frost2013a		API25x2	6.0	API25x2	165.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API25x2	0.000815081610446137	0.00023116430903155613	mole/meter^3	inr		plasma	coagulation assay	inr_mean_API25x2	1.45	0.1500000000000001	dimensionless	
Frost2013a		API25x2	6.0	API25x2	168.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API25x2	0.0006569314472252449	0.00019464635473340588	mole/meter^3	inr		plasma	coagulation assay	inr_mean_API25x2	1.42	0.1600000000000001	dimensionless	
