study	individual	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_sd	x_unit	y_measurement_type	y_substance	y_tissue	y_method	y_label	y	y_sd	y_unit	comments
Frost2013a	NA	API2x2	6.0	API2x2	0.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API2x2	0.0	NA	ng/ml	inr	NA	plasma	coagulation assay	inr_mean_API2x2	1.12	0.0399999999999998	dimensionless	NA
Frost2013a	NA	API2x2	6.0	API2x2	3.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API2x2	48.8	27.1	ng/ml	inr	NA	plasma	coagulation assay	inr_mean_API2x2	1.52	0.64	dimensionless	NA
Frost2013a	NA	API2x2	6.0	API2x2	6.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API2x2	37.95	16.27	ng/ml	inr	NA	plasma	coagulation assay	inr_mean_API2x2	1.18	0.0	dimensionless	NA
Frost2013a	NA	API2x2	6.0	API2x2	9.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API2x2	27.11	10.84	ng/ml	inr	NA	plasma	coagulation assay	inr_mean_API2x2	1.16	0.02	dimensionless	NA
Frost2013a	NA	API2x2	6.0	API2x2	12.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API2x2	21.69	10.84	ng/ml	inr	NA	plasma	coagulation assay	inr_mean_API2x2	1.21	0.01	dimensionless	NA
Frost2013a	NA	API2x2	6.0	API2x2	15.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API2x2	27.11	21.69	ng/ml	inr	NA	plasma	coagulation assay	inr_mean_API2x2	1.28	0.03	dimensionless	NA
Frost2013a	NA	API2x2	6.0	API2x2	18.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API2x2	27.11	16.26	ng/ml	inr	NA	plasma	coagulation assay	inr_mean_API2x2	1.12	0.00999999999999979	dimensionless	NA
Frost2013a	NA	API2x2	6.0	API2x2	21.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API2x2	27.11	16.26	ng/ml	inr	NA	plasma	coagulation assay	inr_mean_API2x2	1.16	0.0	dimensionless	NA
Frost2013a	NA	API2x2	6.0	API2x2	24.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API2x2	21.69	21.68	ng/ml	inr	NA	plasma	coagulation assay	inr_mean_API2x2	1.1	0.02	dimensionless	NA
Frost2013a	NA	API2x2	6.0	API2x2	144.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API2x2	16.77	11.18	ng/ml	inr	NA	plasma	coagulation assay	inr_mean_API2x2	1.12	0.0	dimensionless	NA
Frost2013a	NA	API2x2	6.0	API2x2	147.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API2x2	61.49	22.36	ng/ml	inr	NA	plasma	coagulation assay	inr_mean_API2x2	1.22	0.0900000000000001	dimensionless	NA
Frost2013a	NA	API2x2	6.0	API2x2	150.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API2x2	44.72	11.18	ng/ml	inr	NA	plasma	coagulation assay	inr_mean_API2x2	1.21	0.0	dimensionless	NA
Frost2013a	NA	API2x2	6.0	API2x2	153.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API2x2	27.95	0.0	ng/ml	inr	NA	plasma	coagulation assay	inr_mean_API2x2	1.19	0.0900000000000001	dimensionless	NA
Frost2013a	NA	API2x2	6.0	API2x2	156.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API2x2	22.36	11.18	ng/ml	inr	NA	plasma	coagulation assay	inr_mean_API2x2	1.18	0.0900000000000001	dimensionless	NA
Frost2013a	NA	API2x2	6.0	API2x2	159.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API2x2	44.72	16.77	ng/ml	inr	NA	plasma	coagulation assay	inr_mean_API2x2	1.16	0.02	dimensionless	NA
Frost2013a	NA	API2x2	6.0	API2x2	162.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API2x2	33.54	11.18	ng/ml	inr	NA	plasma	coagulation assay	inr_mean_API2x2	1.16	0.0600000000000001	dimensionless	NA
Frost2013a	NA	API2x2	6.0	API2x2	165.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API2x2	27.95	11.18	ng/ml	inr	NA	plasma	coagulation assay	inr_mean_API2x2	1.16	0.0900000000000001	dimensionless	NA
