study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Frost2013a	API2x2	5.0	API2x2	cmax	apixaban	plasma	LC MS/MS	12.0	hr	51.0	27.0	NA	NA	NA	13.77	NA	ng/ml	NA
Frost2013a	API2x2	5.0	API2x2	cmin	apixaban	plasma	LC MS/MS	NA	NA	14.2	53.0	NA	NA	NA	NA	NA	ng/ml	NA
Frost2013a	API2x2	5.0	API2x2	auc_end	apixaban	plasma	LC MS/MS	12.0	hr	353.3	25.0	NA	NA	NA	NA	NA	ng*hr/ml	NA
Frost2013a	API2x2	5.0	API2x2	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	NA	3.5	2.0	12.0	NA	NA	hr	NA
Frost2013a	API2x2	5.0	API2x2	cmax	apixaban	plasma	LC MS/MS	156.0	hr	62.3	37.0	NA	NA	NA	23.051	NA	ng/ml	NA
Frost2013a	API2x2	5.0	API2x2	cmin	apixaban	plasma	LC MS/MS	NA	NA	21.0	17.0	NA	NA	NA	NA	NA	ng/ml	NA
Frost2013a	API2x2	5.0	API2x2	auc_end	apixaban	plasma	LC MS/MS	156.0	hr	462.8	35.0	NA	NA	NA	NA	NA	ng*hr/ml	NA
Frost2013a	API2x2	5.0	API2x2	tmax	apixaban	plasma	LC MS/MS	NA	NA	3.0	NA	NA	3.0	9.0	NA	NA	hr	NA
Frost2013a	API2x2	5.0	API2x2	thalf	apixaban	plasma	LC MS/MS	NA	NA	8.1	NA	NA	NA	NA	1.8	NA	hr	NA
Frost2013a	API5x2	6.0	API5x2	cmax	apixaban	plasma	LC MS/MS	12.0	hr	81.9	18.0	NA	NA	NA	14.742	NA	ng/ml	NA
Frost2013a	API5x2	6.0	API5x2	cmin	apixaban	plasma	LC MS/MS	NA	NA	25.3	20.0	NA	NA	NA	NA	NA	ng/ml	NA
Frost2013a	API5x2	6.0	API5x2	auc_end	apixaban	plasma	LC MS/MS	12.0	hr	600.6	20.0	NA	NA	NA	NA	NA	ng*hr/ml	NA
Frost2013a	API5x2	6.0	API5x2	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	NA	3.5	3.0	6.0	NA	NA	hr	NA
Frost2013a	API5x2	6.0	API5x2	cmax	apixaban	plasma	LC MS/MS	156.0	hr	128.5	10.0	NA	NA	NA	12.85	NA	ng/ml	NA
Frost2013a	API5x2	6.0	API5x2	cmin	apixaban	plasma	LC MS/MS	NA	NA	49.6	20.0	NA	NA	NA	NA	NA	ng/ml	NA
Frost2013a	API5x2	6.0	API5x2	auc_end	apixaban	plasma	LC MS/MS	156.0	hr	1051.9	9.0	NA	NA	NA	NA	NA	ng*hr/ml	NA
