study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Frost2013a	placebo	12.0	placebo	inr (change)	NA	plasma	coagulation assay	NA	NA	-0.01	NA	NA	NA	NA	0.056	NA	dimensionless	NA
Frost2013a	placebo	12.0	placebo	aPTT (change)	NA	plasma	coagulation assay	NA	NA	0.25	NA	NA	NA	NA	1.703	NA	sec	NA
Frost2013a	placebo	12.0	placebo	modified prothrombin time (change)	NA	plasma	coagulation assay	NA	NA	0.23	NA	NA	NA	NA	8.317	NA	sec	NA
Frost2013a	API2x2	5.0	API2x2	inr (change)	NA	plasma	coagulation assay	NA	NA	0.04	NA	NA	NA	NA	0.033	NA	dimensionless	NA
Frost2013a	API2x2	5.0	API2x2	aPTT (change)	NA	plasma	coagulation assay	NA	NA	0.2	NA	NA	NA	NA	2.351	NA	sec	NA
Frost2013a	API2x2	5.0	API2x2	modified prothrombin time (change)	NA	plasma	coagulation assay	NA	NA	-6.06	NA	NA	NA	NA	4.397	NA	sec	NA
Frost2013a	API5x2	6.0	API5x2	inr (change)	NA	plasma	coagulation assay	NA	NA	0.0	NA	NA	NA	NA	0.052	NA	dimensionless	NA
Frost2013a	API5x2	6.0	API5x2	aPTT (change)	NA	plasma	coagulation assay	NA	NA	1.63	NA	NA	NA	NA	1.827	NA	sec	NA
Frost2013a	API5x2	6.0	API5x2	modified prothrombin time (change)	NA	plasma	coagulation assay	NA	NA	17.5	NA	NA	NA	NA	6.969	NA	sec	NA
Frost2013a	API10x2	6.0	API10x2	inr (change)	NA	plasma	coagulation assay	NA	NA	0.17	NA	NA	NA	NA	0.058	NA	dimensionless	NA
Frost2013a	API10x2	6.0	API10x2	aPTT (change)	NA	plasma	coagulation assay	NA	NA	2.83	NA	NA	NA	NA	1.496	NA	sec	NA
Frost2013a	API10x2	6.0	API10x2	modified prothrombin time (change)	NA	plasma	coagulation assay	NA	NA	32.27	NA	NA	NA	NA	8.464	NA	sec	NA
Frost2013a	API25x2	6.0	API25x2	inr (change)	NA	plasma	coagulation assay	NA	NA	0.23	NA	NA	NA	NA	0.059	NA	dimensionless	NA
Frost2013a	API25x2	6.0	API25x2	aPTT (change)	NA	plasma	coagulation assay	NA	NA	4.8	NA	NA	NA	NA	1.19	NA	sec	NA
Frost2013a	API25x2	6.0	API25x2	modified prothrombin time (change)	NA	plasma	coagulation assay	NA	NA	55.25	NA	NA	NA	NA	10.8	NA	sec	NA
Frost2013a	API10	6.0	API10	inr (change)	NA	plasma	coagulation assay	NA	NA	0.05	NA	NA	NA	NA	0.033	NA	dimensionless	NA
Frost2013a	API10	6.0	API10	aPTT (change)	NA	plasma	coagulation assay	NA	NA	1.5	NA	NA	NA	NA	1.902	NA	sec	NA
Frost2013a	API10	6.0	API10	modified prothrombin time (change)	NA	plasma	coagulation assay	NA	NA	17.47	NA	NA	NA	NA	6.458	NA	sec	NA
Frost2013a	API25	6.0	API25	inr (change)	NA	plasma	coagulation assay	NA	NA	0.04	NA	NA	NA	NA	0.05	NA	dimensionless	NA
Frost2013a	API25	6.0	API25	aPTT (change)	NA	plasma	coagulation assay	NA	NA	1.78	NA	NA	NA	NA	3.605	NA	sec	NA
Frost2013a	API25	6.0	API25	modified prothrombin time (change)	NA	plasma	coagulation assay	NA	NA	12.7	NA	NA	NA	NA	5.047	NA	sec	NA
