study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Frost2017	api_aten	15.0	API10	cmax	apixaban	plasma	LC MS/MS	NA	NA	216.0	33.0	NA	NA	NA	NA	NA	ng/ml	NA
Frost2017	api_aten	15.0	API10	auc_end	apixaban	plasma	LC MS/MS	72.0	hr	2103.0	31.0	NA	NA	NA	NA	NA	ng/ml*hr	NA
Frost2017	api_aten	15.0	API10	auc_inf	apixaban	plasma	LC MS/MS	NA	NA	2157.0	31.0	NA	NA	NA	NA	NA	ng/ml*hr	NA
Frost2017	api_aten	15.0	API10	thalf	apixaban	plasma	LC MS/MS	NA	NA	13.9	NA	NA	NA	NA	6.1	NA	hr	NA
Frost2017	api_aten	15.0	API10	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	NA	3.0	1.0	4.0	NA	NA	hr	NA
Frost2017	api_aten	14.0	API10, ATEN	cmax	apixaban	plasma	LC MS/MS	NA	NA	180.0	32.0	NA	NA	NA	NA	NA	ng/ml	NA
Frost2017	api_aten	14.0	API10, ATEN	auc_end	apixaban	plasma	LC MS/MS	72.0	hr	1838.0	33.0	NA	NA	NA	NA	NA	ng/ml*hr	NA
Frost2017	api_aten	14.0	API10, ATEN	auc_inf	apixaban	plasma	LC MS/MS	NA	NA	1878.0	33.0	NA	NA	NA	NA	NA	ng/ml*hr	NA
Frost2017	api_aten	14.0	API10, ATEN	thalf	apixaban	plasma	LC MS/MS	NA	NA	11.7	3.8	NA	NA	NA	3.8	NA	hr	NA
Frost2017	api_aten	14.0	API10, ATEN	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	NA	4.0	2.0	4.0	NA	NA	hr	NA
Frost2017	api_aten	15.0	ATEN	cmax	atenolol	plasma	LC MS/MS	NA	NA	603.0	39.0	NA	NA	NA	NA	NA	ng/ml	NA
Frost2017	api_aten	15.0	ATEN	auc_end	atenolol	plasma	LC MS/MS	72.0	hr	5500.0	29.0	NA	NA	NA	NA	NA	ng/ml*hr	NA
Frost2017	api_aten	15.0	ATEN	auc_inf	atenolol	plasma	LC MS/MS	NA	NA	5596.0	29.0	NA	NA	NA	NA	NA	ng/ml*hr	NA
Frost2017	api_aten	15.0	ATEN	thalf	atenolol	plasma	LC MS/MS	NA	NA	8.33	1.64	NA	NA	NA	1.64	NA	hr	NA
Frost2017	api_aten	15.0	ATEN	tmax	atenolol	plasma	LC MS/MS	NA	NA	NA	NA	3.0	1.0	6.0	NA	NA	hr	NA
Frost2017	api_aten	14.0	ATEN, API10	cmax	atenolol	plasma	LC MS/MS	NA	NA	598.0	33.0	NA	NA	NA	NA	NA	ng/ml	NA
Frost2017	api_aten	14.0	ATEN, API10	auc_end	atenolol	plasma	LC MS/MS	72.0	hr	5528.0	22.0	NA	NA	NA	NA	NA	ng/ml*hr	NA
Frost2017	api_aten	14.0	ATEN, API10	auc_inf	atenolol	plasma	LC MS/MS	NA	NA	5649.0	22.0	NA	NA	NA	NA	NA	ng/ml*hr	NA
Frost2017	api_aten	14.0	ATEN, API10	thalf	atenolol	plasma	LC MS/MS	NA	NA	8.57	1.89	NA	NA	NA	1.89	NA	hr	NA
Frost2017	api_aten	14.0	ATEN, API10	tmax	atenolol	plasma	LC MS/MS	NA	NA	NA	NA	2.0	2.0	4.0	NA	NA	hr	NA
