study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Upreti2013a	all	18.0	API10, FAMO40	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, FAMO40	0.0	hr		4.515393633931752e-06	2.80007594935835	1.578351631265963e-06	3.720210471883371e-07		mole/meter^3	ng/ml
Upreti2013a	all	18.0	API10, FAMO40	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, FAMO40	0.5	hr		0.0001504309249293125	87.3995977762779	3.977494618337063e-05	9.375044722530455e-06		mole/meter^3	ng/ml
Upreti2013a	all	18.0	API10, FAMO40	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, FAMO40	1.0	hr		0.00039982084038707943	203.907857883063	4.393945968487489e-05	1.0356629968282652e-05		mole/meter^3	ng/ml
Upreti2013a	all	18.0	API10, FAMO40	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, FAMO40	2.0	hr		0.0004554798838801067	268.103131580635	0.00012798721422791298	3.016687569524422e-05		mole/meter^3	ng/ml
Upreti2013a	all	18.0	API10, FAMO40	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, FAMO40	3.0	hr		0.0004675089785764897	293.713919153958	0.000171694327525704	4.046874109489646e-05		mole/meter^3	ng/ml
Upreti2013a	all	18.0	API10, FAMO40	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, FAMO40	4.0	hr		0.00044376030007195434	254.483938431971	0.00011006763993233518	2.5943191528451145e-05		mole/meter^3	ng/ml
Upreti2013a	all	18.0	API10, FAMO40	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, FAMO40	6.0	hr		0.0003001491555173689	188.569607938201	0.00011023083999558216	2.598165815225515e-05		mole/meter^3	ng/ml
Upreti2013a	all	18.0	API10, FAMO40	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, FAMO40	12.0	hr		0.0001253406211984211	75.7260463635661	3.94603502130394e-05	9.300893741212063e-06		mole/meter^3	ng/ml
Upreti2013a	all	18.0	API10, FAMO40	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, FAMO40	24.0	hr		4.3046802659804135e-05	25.3380731094261	1.2095902692592167e-05	2.8510316061681805e-06		mole/meter^3	ng/ml
Upreti2013a	all	18.0	API10, FAMO40	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, FAMO40	36.0	hr		1.5174371444360347e-05	9.04906637094341	4.518917719825526e-06	1.065119121104227e-06		mole/meter^3	ng/ml
Upreti2013a	all	18.0	API10, FAMO40	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, FAMO40	48.0	hr		9.247330318164395e-06	5.58688602080544	2.9112899665046794e-06	6.861976257719383e-07		mole/meter^3	ng/ml
Upreti2013a	all	18.0	API10, FAMO40	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, FAMO40	60.0	hr		4.75704353302431e-06	3.06755566847018	1.9188121110892495e-06	4.522683518580276e-07		mole/meter^3	ng/ml
