study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_pm	mean_sd	mean_se	comments	mean_unit
Song2016		food_fed	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fed_apixaban	0.0	hr	0.0					mole/meter^3
Song2016		food_fed	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fed_apixaban	0.5	hr	1.7131055748896756e-05	26.6763848396501	4.092418873347574e-05	8.725066354249207e-06		mole/meter^3
Song2016		food_fed	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fed_apixaban	1.0	hr	8.089665214756824e-05	1.31195335276965	7.804147618941873e-05	1.6638498629033407e-05		mole/meter^3
Song2016		food_fed	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fed_apixaban	1.5	hr	0.00014371052322685636	27.9883381924198	8.28001027863345e-05	1.765304122836468e-05		mole/meter^3
Song2016		food_fed	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fed_apixaban	2.0	hr	0.0001789243600440331	48.9795918367347	7.233112427311991e-05	1.5421047509835845e-05		mole/meter^3
Song2016		food_fed	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fed_apixaban	3.0	hr	0.00019795886643169622	70.4081632653061	4.473109001100827e-05	9.536700433714254e-06		mole/meter^3
Song2016		food_fed	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fed_apixaban	4.0	hr	0.00017511745876650053	62.5364431486881	3.902073809470925e-05	8.319249314516693e-06		mole/meter^3
Song2016		food_fed	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fed_apixaban	6.0	hr	0.0001256277421585765	41.9825072886297	3.426211149779369e-05	7.304706715185397e-06		mole/meter^3
Song2016		food_fed	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fed_apixaban	9.0	hr	8.089665214756824e-05	26.2390670553936	2.3793132984578892e-05	5.072712996656518e-06		mole/meter^3
Song2016		food_fed	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fed_apixaban	12.0	hr	4.8537991288540815e-05	16.1807580174927	1.3324154471364178e-05	2.840719278127661e-06		mole/meter^3
Song2016		food_fed	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fed_apixaban	24.0	hr	1.8771297848039784e-05	12.615876565922	8.684363884108248e-06	1.851512601184668e-06		mole/meter^3
Song2016		food_fed	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fed_apixaban	48.0	hr	4.463145958028422e-06	3.40494492619773	2.9469626952854626e-06	6.282945577081219e-07		mole/meter^3
Song2016		food_fed	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fed_apixaban	60.0	hr	1.4263570260767422e-06	1.46264056723255	1.7567562867253167e-06	3.745416987920588e-07		mole/meter^3
Song2016		food_fed	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fed_apixaban	72.0	hr	7.894915967648009e-07	0.958630795035779	1.2967560529322155e-06	2.7646931942362135e-07		mole/meter^3
